          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
  59481.48003  19.7819  19.8787    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59484.420362  19.8361   19.933    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59485.391328  19.6139  19.7108    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59486.328325  20.1347  20.2315    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59487.430165  20.1142  20.2111    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59488.415106   19.571  19.6679    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59489.523247  19.4229  19.5198    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59491.407021  20.0436  20.1404    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59492.437143  19.5693  19.6662    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59493.437441  19.9218  20.0187    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59496.385082  20.0025  20.0994    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59497.458558  19.9631    20.06    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  59501.40013   19.607  19.7038    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59508.370584  18.9534  19.0502    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59509.353154  19.6292  19.7261    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  59510.35872  19.8212   19.918    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59511.372373  19.5271  19.6239    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59512.371827  19.7486  19.8454    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59513.356022  20.0336  20.1305    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59515.377959  20.1839  20.3162    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59516.418972  20.0271  20.1239    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59517.348446   20.093  20.1898    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59518.352363  20.4618  20.5941    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59519.353143  20.4094  20.5418    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
 59521.365029  19.9792  20.0761    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59522.132812  22.3404  22.4912    -1.0       FLWO   KeplerCam       g   True      AB   False             ThisWork 
 59522.136718  22.3126  22.4634    -1.0       FLWO   KeplerCam       g   True      AB   False             ThisWork 
 59522.140625  22.4705  22.5783  0.3081       FLWO   KeplerCam       r  False      AB   False             ThisWork 
 59522.144531  22.5526  22.6604  0.4369       FLWO   KeplerCam       r  False      AB   False             ThisWork 
 59522.148437  21.9677  22.0486    -1.0       FLWO   KeplerCam       i   True      AB   False             ThisWork 
 59522.152343  21.8028  21.8836    -1.0       FLWO   KeplerCam       i   True      AB   False             ThisWork 
 59523.382085  19.8285  19.9608    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 59525.290975  19.9867  20.0836    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59526.121093  22.7561  22.9069  0.3033       FLWO   KeplerCam       g  False      AB   False             ThisWork 
    59526.125  22.3571  22.5079    -1.0       FLWO   KeplerCam       g   True      AB   False             ThisWork 
 59526.128906  22.2426  22.3504  0.2983       FLWO   KeplerCam       r  False      AB   False             ThisWork 
 59526.132812  22.3523    22.46  0.2628       FLWO   KeplerCam       r  False      AB   False             ThisWork 
 59526.136718  22.2186  22.2995  0.3888       FLWO   KeplerCam       i  False      AB   False             ThisWork 
 59526.140625  21.7776  21.8584    -1.0       FLWO   KeplerCam       i   True      AB   False             ThisWork 
 59527.298611  19.8976  19.9944    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59528.339409   19.469  19.5658    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59530.101562   21.829  21.9798    -1.0       FLWO   KeplerCam       g   True      AB   False             ThisWork 
 59530.105468  21.8715  22.0223    -1.0       FLWO   KeplerCam       g   True      AB   False             ThisWork 
 59530.109375  22.0395  22.1472    -1.0       FLWO   KeplerCam       r   True      AB   False             ThisWork 
 59530.109375  22.1625  22.2703    -1.0       FLWO   KeplerCam       r   True      AB   False             ThisWork 
 59530.113281  21.6242  21.7051    -1.0       FLWO   KeplerCam       i   True      AB   False             ThisWork 
 59530.117187  21.6675  21.7484    -1.0       FLWO   KeplerCam       i   True      AB   False             ThisWork 
 59534.342292  19.2352   19.332    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59538.382633  19.4709  19.5677    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59539.341415  19.9098  20.0066    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59541.260311  19.9981  20.0949    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59543.259835   19.946  20.0428    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59545.315854  19.9712  20.0681    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59546.329424  20.1002   20.197    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59551.271555  19.9552   20.052    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
   59552.3362  19.0237  19.1206    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59560.281678  19.7759  19.8728    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  59561.31872  19.5802   19.677    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59564.233873  19.5423  19.6392    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59565.259203  19.7599  19.8567    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59593.243166  19.1455  19.2423    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59600.223026  19.2409  19.3378    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59708.606106  19.8012   19.898    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
