"Time (MJD)" g-4810.16 g-4810.16_err i-7503.03 i-7503.03_err r-6155.47 r-6155.47_err y-9613.6 y-9613.6_err z-8668.36 z-8668.36_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-15.800 -19.948 -0.063 -20.018 -0.055 -19.961 -0.057 -19.860 -0.068 -19.773 -0.097 12.946 0.025 1.650 0.004 43.737 41.136
-15.400 -19.963 -0.064 -20.036 -0.055 -19.980 -0.057 -19.880 -0.068 -19.794 -0.096 12.903 0.023 1.672 0.004 43.742 41.118
-15.000 -19.978 -0.065 -20.054 -0.055 -19.999 -0.058 -19.900 -0.067 -19.815 -0.096 12.861 0.022 1.694 0.004 43.748 41.102
-14.600 -19.993 -0.065 -20.071 -0.056 -20.017 -0.058 -19.920 -0.067 -19.835 -0.096 12.819 0.021 1.715 0.004 43.753 41.090
-14.200 -20.007 -0.066 -20.088 -0.056 -20.035 -0.058 -19.939 -0.067 -19.855 -0.095 12.780 0.021 1.737 0.004 43.758 41.082
-13.800 -20.022 -0.067 -20.105 -0.056 -20.053 -0.058 -19.958 -0.067 -19.875 -0.095 12.741 0.020 1.758 0.004 43.764 41.080
-13.400 -20.036 -0.068 -20.121 -0.057 -20.070 -0.058 -19.976 -0.066 -19.894 -0.095 12.704 0.020 1.779 0.004 43.769 41.083
-13.000 -20.050 -0.069 -20.137 -0.057 -20.088 -0.058 -19.995 -0.066 -19.913 -0.095 12.668 0.020 1.800 0.004 43.774 41.092
-12.600 -20.063 -0.070 -20.153 -0.057 -20.104 -0.057 -20.012 -0.066 -19.932 -0.095 12.633 0.020 1.821 0.004 43.779 41.105
-12.200 -20.077 -0.070 -20.169 -0.057 -20.121 -0.057 -20.030 -0.065 -19.950 -0.095 12.599 0.021 1.841 0.004 43.784 41.120
-11.800 -20.090 -0.071 -20.184 -0.057 -20.137 -0.057 -20.047 -0.065 -19.967 -0.095 12.566 0.021 1.861 0.004 43.789 41.136
-11.400 -20.103 -0.072 -20.199 -0.057 -20.153 -0.056 -20.063 -0.065 -19.985 -0.095 12.533 0.022 1.881 0.005 43.794 41.150
-11.000 -20.115 -0.072 -20.213 -0.057 -20.168 -0.056 -20.080 -0.064 -20.002 -0.095 12.502 0.022 1.901 0.005 43.799 41.163
-10.600 -20.127 -0.073 -20.227 -0.057 -20.183 -0.055 -20.096 -0.064 -20.018 -0.095 12.471 0.022 1.920 0.005 43.803 41.174
-10.200 -20.139 -0.073 -20.241 -0.057 -20.198 -0.055 -20.111 -0.064 -20.034 -0.095 12.440 0.023 1.940 0.005 43.808 41.184
-9.800 -20.150 -0.074 -20.254 -0.057 -20.213 -0.054 -20.126 -0.063 -20.050 -0.095 12.409 0.023 1.959 0.005 43.812 41.194
-9.400 -20.161 -0.074 -20.267 -0.056 -20.227 -0.053 -20.141 -0.063 -20.065 -0.095 12.379 0.023 1.978 0.005 43.816 41.204
-9.000 -20.171 -0.074 -20.280 -0.055 -20.240 -0.052 -20.156 -0.063 -20.080 -0.095 12.349 0.024 1.997 0.005 43.820 41.215
-8.600 -20.181 -0.074 -20.292 -0.055 -20.253 -0.052 -20.170 -0.062 -20.094 -0.096 12.319 0.024 2.015 0.006 43.824 41.227
-8.200 -20.191 -0.074 -20.304 -0.054 -20.266 -0.051 -20.183 -0.062 -20.108 -0.096 12.289 0.025 2.034 0.006 43.827 41.239
-7.800 -20.200 -0.074 -20.315 -0.053 -20.278 -0.050 -20.196 -0.061 -20.122 -0.096 12.259 0.025 2.052 0.006 43.831 41.252
-7.400 -20.209 -0.074 -20.326 -0.052 -20.290 -0.049 -20.209 -0.061 -20.135 -0.096 12.228 0.026 2.070 0.006 43.834 41.266
-7.000 -20.217 -0.074 -20.337 -0.052 -20.302 -0.048 -20.221 -0.061 -20.148 -0.097 12.197 0.027 2.088 0.007 43.837 41.280
-6.600 -20.225 -0.074 -20.346 -0.051 -20.313 -0.047 -20.233 -0.060 -20.161 -0.097 12.166 0.027 2.106 0.007 43.840 41.294
-6.200 -20.232 -0.074 -20.356 -0.050 -20.323 -0.046 -20.245 -0.060 -20.173 -0.097 12.134 0.028 2.124 0.007 43.843 41.307
-5.800 -20.239 -0.074 -20.365 -0.049 -20.333 -0.045 -20.256 -0.060 -20.185 -0.098 12.101 0.029 2.141 0.007 43.845 41.318
-5.400 -20.245 -0.073 -20.373 -0.048 -20.343 -0.044 -20.267 -0.060 -20.196 -0.098 12.067 0.029 2.159 0.008 43.848 41.328
-5.000 -20.251 -0.073 -20.381 -0.047 -20.352 -0.043 -20.277 -0.060 -20.207 -0.098 12.032 0.030 2.177 0.008 43.850 41.336
-4.600 -20.256 -0.073 -20.388 -0.047 -20.360 -0.043 -20.287 -0.060 -20.218 -0.099 11.996 0.030 2.194 0.008 43.852 41.342
-4.200 -20.260 -0.073 -20.394 -0.046 -20.369 -0.042 -20.296 -0.060 -20.228 -0.099 11.959 0.031 2.212 0.008 43.853 41.349
-3.800 -20.264 -0.073 -20.400 -0.046 -20.376 -0.042 -20.305 -0.060 -20.238 -0.100 11.920 0.032 2.229 0.009 43.854 41.359
-3.400 -20.268 -0.073 -20.405 -0.046 -20.384 -0.042 -20.314 -0.060 -20.248 -0.100 11.880 0.033 2.247 0.009 43.855 41.377
-3.000 -20.271 -0.074 -20.410 -0.046 -20.391 -0.043 -20.322 -0.061 -20.257 -0.100 11.839 0.035 2.265 0.010 43.856 41.407
-2.600 -20.273 -0.074 -20.414 -0.047 -20.397 -0.043 -20.330 -0.061 -20.266 -0.101 11.796 0.039 2.282 0.011 43.857 41.450
-2.200 -20.275 -0.074 -20.417 -0.048 -20.403 -0.044 -20.337 -0.062 -20.274 -0.101 11.752 0.044 2.300 0.013 43.857 41.502
-1.800 -20.276 -0.075 -20.419 -0.049 -20.408 -0.045 -20.344 -0.062 -20.282 -0.102 11.708 0.050 2.318 0.015 43.857 41.560
-1.400 -20.277 -0.075 -20.421 -0.050 -20.413 -0.046 -20.350 -0.063 -20.290 -0.102 11.663 0.058 2.335 0.017 43.857 41.618
-1.000 -20.277 -0.076 -20.423 -0.051 -20.417 -0.047 -20.356 -0.064 -20.298 -0.103 11.617 0.066 2.352 0.020 43.856 41.676
-0.600 -20.277 -0.077 -20.423 -0.053 -20.420 -0.048 -20.362 -0.064 -20.305 -0.103 11.571 0.075 2.370 0.023 43.856 41.730
-0.200 -20.276 -0.078 -20.424 -0.054 -20.424 -0.049 -20.367 -0.065 -20.312 -0.104 11.525 0.084 2.387 0.026 43.855 41.781
0.200 -20.275 -0.080 -20.424 -0.056 -20.426 -0.051 -20.372 -0.066 -20.318 -0.104 11.478 0.094 2.404 0.030 43.854 41.829
0.600 -20.274 -0.081 -20.423 -0.058 -20.429 -0.053 -20.377 -0.067 -20.324 -0.104 11.431 0.104 2.420 0.033 43.853 41.872
1.000 -20.272 -0.082 -20.422 -0.059 -20.430 -0.054 -20.381 -0.068 -20.330 -0.105 11.383 0.115 2.437 0.037 43.852 41.913
1.400 -20.269 -0.084 -20.420 -0.061 -20.432 -0.056 -20.385 -0.068 -20.335 -0.105 11.336 0.125 2.453 0.041 43.850 41.951
1.800 -20.266 -0.085 -20.418 -0.063 -20.433 -0.058 -20.388 -0.069 -20.341 -0.105 11.287 0.136 2.470 0.045 43.849 41.985
2.200 -20.263 -0.087 -20.415 -0.065 -20.433 -0.059 -20.391 -0.070 -20.346 -0.106 11.239 0.147 2.486 0.050 43.847 42.017
2.600 -20.259 -0.088 -20.412 -0.067 -20.433 -0.061 -20.393 -0.070 -20.350 -0.106 11.192 0.158 2.502 0.054 43.845 42.047
3.000 -20.255 -0.090 -20.409 -0.068 -20.433 -0.063 -20.396 -0.071 -20.354 -0.106 11.142 0.169 2.518 0.058 43.843 42.074
3.400 -20.251 -0.092 -20.405 -0.070 -20.432 -0.064 -20.398 -0.072 -20.358 -0.107 11.093 0.179 2.534 0.063 43.841 42.099
3.800 -20.246 -0.093 -20.401 -0.071 -20.431 -0.066 -20.399 -0.072 -20.362 -0.107 11.044 0.190 2.550 0.068 43.838 42.122
4.200 -20.241 -0.095 -20.397 -0.073 -20.430 -0.067 -20.401 -0.073 -20.366 -0.107 10.995 0.201 2.566 0.072 43.836 42.144
4.600 -20.235 -0.096 -20.392 -0.074 -20.428 -0.069 -20.402 -0.074 -20.369 -0.107 10.947 0.211 2.581 0.077 43.834 42.164
5.000 -20.229 -0.097 -20.387 -0.076 -20.426 -0.070 -20.402 -0.074 -20.372 -0.107 10.898 0.222 2.597 0.082 43.831 42.182
5.400 -20.223 -0.099 -20.382 -0.077 -20.423 -0.071 -20.403 -0.075 -20.375 -0.108 10.850 0.232 2.612 0.087 43.828 42.199
5.800 -20.217 -0.100 -20.377 -0.078 -20.421 -0.072 -20.403 -0.075 -20.377 -0.108 10.802 0.242 2.627 0.092 43.826 42.214
6.200 -20.210 -0.101 -20.371 -0.079 -20.418 -0.073 -20.403 -0.076 -20.379 -0.108 10.754 0.252 2.641 0.097 43.823 42.229
6.600 -20.204 -0.102 -20.365 -0.080 -20.415 -0.074 -20.403 -0.076 -20.381 -0.108 10.711 0.262 2.654 0.102 43.820 42.242
7.000 -20.197 -0.103 -20.359 -0.080 -20.412 -0.075 -20.402 -0.077 -20.383 -0.108 10.660 0.271 2.670 0.107 43.817 42.254
7.400 -20.189 -0.104 -20.353 -0.081 -20.408 -0.076 -20.401 -0.077 -20.385 -0.108 10.618 0.281 2.682 0.112 43.814 42.265
7.800 -20.182 -0.105 -20.347 -0.082 -20.404 -0.077 -20.400 -0.078 -20.386 -0.108 10.573 0.290 2.696 0.117 43.811 42.275
8.200 -20.174 -0.106 -20.340 -0.082 -20.401 -0.077 -20.399 -0.078 -20.387 -0.108 10.528 0.299 2.709 0.122 43.808 42.283
8.600 -20.167 -0.106 -20.333 -0.082 -20.397 -0.078 -20.398 -0.079 -20.388 -0.108 10.483 0.307 2.723 0.127 43.805 42.291
9.000 -20.159 -0.107 -20.327 -0.082 -20.392 -0.078 -20.396 -0.079 -20.389 -0.109 10.439 0.315 2.735 0.133 43.802 42.298
9.400 -20.151 -0.107 -20.320 -0.082 -20.388 -0.079 -20.395 -0.079 -20.390 -0.109 10.396 0.323 2.748 0.138 43.798 42.304
9.800 -20.142 -0.108 -20.313 -0.082 -20.384 -0.079 -20.393 -0.080 -20.390 -0.109 10.354 0.331 2.760 0.143 43.795 42.309
10.200 -20.134 -0.108 -20.306 -0.082 -20.379 -0.079 -20.391 -0.080 -20.390 -0.109 10.312 0.338 2.772 0.148 43.792 42.314
10.600 -20.126 -0.108 -20.299 -0.081 -20.375 -0.079 -20.389 -0.081 -20.390 -0.109 10.271 0.345 2.784 0.152 43.789 42.317
11.000 -20.117 -0.108 -20.292 -0.081 -20.370 -0.079 -20.386 -0.081 -20.390 -0.109 10.230 0.352 2.795 0.157 43.785 42.320
11.400 -20.109 -0.108 -20.285 -0.080 -20.366 -0.079 -20.384 -0.081 -20.390 -0.109 10.191 0.358 2.807 0.162 43.782 42.322
11.800 -20.100 -0.108 -20.278 -0.079 -20.361 -0.079 -20.382 -0.081 -20.390 -0.110 10.152 0.364 2.817 0.167 43.779 42.323
12.200 -20.092 -0.108 -20.271 -0.078 -20.357 -0.079 -20.379 -0.082 -20.389 -0.110 10.114 0.370 2.828 0.171 43.775 42.324
12.600 -20.083 -0.108 -20.264 -0.077 -20.352 -0.079 -20.377 -0.082 -20.389 -0.110 10.077 0.375 2.838 0.176 43.772 42.324
13.000 -20.075 -0.108 -20.257 -0.076 -20.347 -0.079 -20.375 -0.082 -20.388 -0.110 10.040 0.380 2.848 0.180 43.769 42.323
13.400 -20.066 -0.108 -20.250 -0.075 -20.343 -0.079 -20.372 -0.082 -20.387 -0.111 10.004 0.385 2.858 0.184 43.766 42.322
13.800 -20.058 -0.108 -20.243 -0.074 -20.338 -0.078 -20.370 -0.083 -20.386 -0.111 9.968 0.390 2.868 0.189 43.762 42.321
14.200 -20.049 -0.108 -20.236 -0.073 -20.334 -0.078 -20.367 -0.083 -20.385 -0.111 9.933 0.394 2.878 0.193 43.759 42.319
14.600 -20.041 -0.108 -20.229 -0.072 -20.329 -0.078 -20.365 -0.083 -20.384 -0.112 9.899 0.398 2.887 0.197 43.756 42.316
15.000 -20.033 -0.107 -20.223 -0.071 -20.325 -0.078 -20.362 -0.084 -20.383 -0.112 9.865 0.402 2.897 0.201 43.753 42.314
15.400 -20.024 -0.107 -20.216 -0.070 -20.320 -0.077 -20.360 -0.084 -20.382 -0.113 9.832 0.405 2.906 0.205 43.750 42.311
15.800 -20.016 -0.107 -20.210 -0.069 -20.316 -0.077 -20.358 -0.084 -20.380 -0.113 9.800 0.408 2.915 0.209 43.747 42.308
16.200 -20.008 -0.107 -20.203 -0.068 -20.312 -0.077 -20.355 -0.084 -20.379 -0.113 9.768 0.411 2.924 0.212 43.744 42.304
16.600 -20.000 -0.107 -20.197 -0.067 -20.308 -0.077 -20.353 -0.085 -20.377 -0.114 9.738 0.414 2.933 0.216 43.741 42.301
17.000 -19.992 -0.108 -20.191 -0.067 -20.304 -0.077 -20.351 -0.085 -20.376 -0.114 9.708 0.416 2.941 0.219 43.738 42.298
17.400 -19.985 -0.108 -20.185 -0.066 -20.300 -0.077 -20.348 -0.085 -20.375 -0.114 9.679 0.418 2.950 0.222 43.736 42.295
17.800 -19.977 -0.108 -20.179 -0.066 -20.296 -0.077 -20.346 -0.085 -20.373 -0.115 9.651 0.419 2.958 0.224 43.733 42.292
18.200 -19.970 -0.109 -20.173 -0.066 -20.292 -0.076 -20.343 -0.086 -20.371 -0.115 9.624 0.421 2.966 0.227 43.731 42.290
18.600 -19.963 -0.109 -20.168 -0.067 -20.288 -0.077 -20.341 -0.086 -20.370 -0.115 9.599 0.422 2.973 0.229 43.728 42.288
19.000 -19.956 -0.110 -20.162 -0.067 -20.285 -0.077 -20.339 -0.086 -20.368 -0.116 9.574 0.423 2.981 0.231 43.726 42.286
19.400 -19.949 -0.111 -20.157 -0.068 -20.281 -0.077 -20.336 -0.086 -20.367 -0.116 9.551 0.423 2.988 0.233 43.724 42.285
19.800 -19.942 -0.111 -20.151 -0.069 -20.278 -0.077 -20.334 -0.086 -20.365 -0.116 9.529 0.423 2.995 0.234 43.722 42.284
20.200 -19.936 -0.112 -20.146 -0.070 -20.274 -0.077 -20.332 -0.086 -20.363 -0.116 9.507 0.423 3.002 0.235 43.720 42.283
20.600 -19.930 -0.113 -20.141 -0.071 -20.271 -0.077 -20.329 -0.087 -20.362 -0.116 9.486 0.423 3.008 0.236 43.718 42.282
21.000 -19.923 -0.114 -20.136 -0.072 -20.268 -0.077 -20.327 -0.087 -20.360 -0.117 9.466 0.423 3.014 0.237 43.716 42.281
21.400 -19.917 -0.115 -20.132 -0.073 -20.265 -0.078 -20.325 -0.087 -20.358 -0.117 9.446 0.422 3.021 0.238 43.714 42.280
21.800 -19.912 -0.116 -20.127 -0.074 -20.261 -0.078 -20.323 -0.087 -20.356 -0.117 9.427 0.421 3.027 0.238 43.712 42.279
22.200 -19.906 -0.118 -20.123 -0.076 -20.258 -0.078 -20.320 -0.087 -20.355 -0.117 9.409 0.420 3.033 0.238 43.711 42.278
22.600 -19.900 -0.119 -20.118 -0.077 -20.256 -0.078 -20.318 -0.086 -20.353 -0.117 9.391 0.418 3.039 0.238 43.709 42.277
23.000 -19.894 -0.120 -20.114 -0.078 -20.253 -0.079 -20.316 -0.086 -20.351 -0.116 9.373 0.417 3.045 0.238 43.708 42.275
23.400 -19.889 -0.121 -20.110 -0.080 -20.250 -0.079 -20.314 -0.086 -20.350 -0.116 9.355 0.415 3.051 0.238 43.706 42.274
23.800 -19.884 -0.122 -20.106 -0.081 -20.248 -0.079 -20.312 -0.086 -20.348 -0.116 9.338 0.413 3.057 0.238 43.704 42.272
24.200 -19.878 -0.123 -20.103 -0.082 -20.245 -0.079 -20.309 -0.085 -20.346 -0.116 9.321 0.411 3.063 0.238 43.703 42.270
24.600 -19.873 -0.124 -20.099 -0.083 -20.243 -0.079 -20.307 -0.085 -20.345 -0.115 9.304 0.409 3.069 0.237 43.701 42.268
25.000 -19.868 -0.125 -20.095 -0.084 -20.240 -0.079 -20.305 -0.084 -20.343 -0.115 9.287 0.407 3.075 0.237 43.700 42.266
25.400 -19.863 -0.126 -20.092 -0.085 -20.238 -0.079 -20.303 -0.083 -20.341 -0.115 9.271 0.405 3.081 0.236 43.699 42.264
25.800 -19.858 -0.127 -20.088 -0.085 -20.236 -0.078 -20.301 -0.083 -20.340 -0.114 9.255 0.403 3.087 0.235 43.697 42.261
26.200 -19.853 -0.128 -20.085 -0.086 -20.233 -0.078 -20.299 -0.082 -20.338 -0.114 9.239 0.400 3.092 0.235 43.696 42.258
26.600 -19.848 -0.128 -20.082 -0.087 -20.231 -0.078 -20.297 -0.081 -20.336 -0.113 9.223 0.398 3.098 0.234 43.694 42.255
27.000 -19.843 -0.129 -20.079 -0.087 -20.229 -0.077 -20.295 -0.080 -20.335 -0.113 9.207 0.395 3.104 0.233 43.693 42.252
27.400 -19.838 -0.130 -20.076 -0.087 -20.227 -0.076 -20.293 -0.079 -20.333 -0.112 9.191 0.393 3.110 0.232 43.692 42.248
27.800 -19.833 -0.130 -20.073 -0.088 -20.225 -0.076 -20.291 -0.078 -20.332 -0.111 9.175 0.390 3.116 0.231 43.690 42.245
28.200 -19.829 -0.131 -20.070 -0.088 -20.223 -0.075 -20.289 -0.077 -20.331 -0.111 9.159 0.387 3.121 0.230 43.689 42.241
28.600 -19.824 -0.131 -20.067 -0.088 -20.222 -0.074 -20.287 -0.076 -20.329 -0.110 9.144 0.385 3.127 0.230 43.688 42.237
29.000 -19.819 -0.131 -20.064 -0.088 -20.220 -0.073 -20.285 -0.074 -20.328 -0.109 9.128 0.382 3.133 0.229 43.686 42.233
29.400 -19.814 -0.131 -20.061 -0.087 -20.218 -0.073 -20.284 -0.073 -20.327 -0.109 9.112 0.380 3.139 0.228 43.685 42.229
29.800 -19.809 -0.132 -20.058 -0.087 -20.216 -0.072 -20.282 -0.072 -20.326 -0.108 9.096 0.377 3.145 0.227 43.684 42.224
30.200 -19.805 -0.132 -20.056 -0.086 -20.214 -0.071 -20.280 -0.071 -20.324 -0.108 9.080 0.375 3.151 0.226 43.682 42.219
30.600 -19.800 -0.132 -20.053 -0.086 -20.213 -0.069 -20.278 -0.070 -20.323 -0.107 9.064 0.372 3.157 0.226 43.681 42.215
31.000 -19.795 -0.132 -20.050 -0.085 -20.211 -0.068 -20.277 -0.069 -20.322 -0.107 9.048 0.370 3.164 0.225 43.679 42.210
31.400 -19.790 -0.132 -20.047 -0.084 -20.209 -0.067 -20.275 -0.068 -20.322 -0.106 9.032 0.368 3.170 0.225 43.678 42.205
31.800 -19.785 -0.131 -20.044 -0.083 -20.207 -0.066 -20.273 -0.067 -20.321 -0.106 9.015 0.366 3.177 0.225 43.677 42.199
32.200 -19.780 -0.131 -20.041 -0.082 -20.206 -0.065 -20.272 -0.066 -20.320 -0.105 8.998 0.364 3.183 0.225 43.675 42.194
32.600 -19.775 -0.131 -20.038 -0.081 -20.204 -0.064 -20.270 -0.066 -20.319 -0.105 8.980 0.363 3.190 0.225 43.674 42.189
33.000 -19.770 -0.131 -20.035 -0.080 -20.202 -0.062 -20.269 -0.065 -20.319 -0.105 8.963 0.362 3.198 0.226 43.672 42.184
33.400 -19.765 -0.130 -20.032 -0.079 -20.200 -0.061 -20.267 -0.064 -20.318 -0.104 8.944 0.361 3.205 0.227 43.671 42.178
33.800 -19.760 -0.130 -20.029 -0.077 -20.198 -0.060 -20.266 -0.064 -20.318 -0.104 8.925 0.360 3.213 0.228 43.669 42.173
34.200 -19.754 -0.130 -20.026 -0.076 -20.196 -0.059 -20.265 -0.064 -20.318 -0.104 8.906 0.360 3.221 0.229 43.668 42.168
34.600 -19.749 -0.130 -20.023 -0.075 -20.194 -0.058 -20.264 -0.064 -20.318 -0.104 8.886 0.359 3.230 0.231 43.666 42.163
35.000 -19.743 -0.129 -20.019 -0.073 -20.191 -0.057 -20.263 -0.063 -20.318 -0.104 8.865 0.360 3.239 0.233 43.664 42.158
35.400 -19.738 -0.129 -20.016 -0.072 -20.189 -0.056 -20.262 -0.063 -20.318 -0.103 8.844 0.360 3.249 0.235 43.663 42.153
35.800 -19.732 -0.129 -20.012 -0.071 -20.187 -0.055 -20.261 -0.063 -20.318 -0.103 8.822 0.360 3.259 0.238 43.661 42.149
36.200 -19.727 -0.129 -20.009 -0.070 -20.184 -0.055 -20.260 -0.063 -20.318 -0.103 8.799 0.361 3.270 0.240 43.660 42.144
36.600 -19.721 -0.128 -20.005 -0.068 -20.182 -0.054 -20.259 -0.063 -20.318 -0.103 8.775 0.362 3.281 0.243 43.658 42.140
37.000 -19.715 -0.128 -20.001 -0.067 -20.179 -0.053 -20.258 -0.063 -20.318 -0.103 8.751 0.363 3.293 0.246 43.656 42.136
37.400 -19.709 -0.128 -19.997 -0.066 -20.176 -0.053 -20.257 -0.063 -20.319 -0.103 8.726 0.365 3.306 0.250 43.654 42.133
37.800 -19.703 -0.128 -19.992 -0.066 -20.174 -0.052 -20.256 -0.063 -20.320 -0.103 8.700 0.366 3.319 0.253 43.653 42.130
38.200 -19.697 -0.128 -19.988 -0.065 -20.171 -0.052 -20.256 -0.063 -20.320 -0.103 8.673 0.368 3.332 0.257 43.651 42.128
38.600 -19.691 -0.129 -19.983 -0.064 -20.168 -0.052 -20.255 -0.063 -20.321 -0.103 8.646 0.371 3.347 0.262 43.649 42.127
39.000 -19.684 -0.129 -19.978 -0.064 -20.165 -0.052 -20.254 -0.063 -20.322 -0.103 8.618 0.373 3.362 0.266 43.648 42.127
39.400 -19.678 -0.130 -19.973 -0.064 -20.162 -0.052 -20.254 -0.063 -20.322 -0.103 8.590 0.376 3.378 0.271 43.646 42.128
39.800 -19.671 -0.130 -19.968 -0.065 -20.159 -0.052 -20.253 -0.063 -20.323 -0.103 8.561 0.380 3.394 0.277 43.644 42.129
40.200 -19.665 -0.131 -19.963 -0.065 -20.155 -0.053 -20.253 -0.063 -20.324 -0.103 8.532 0.384 3.411 0.283 43.643 42.132
40.600 -19.658 -0.132 -19.957 -0.066 -20.152 -0.053 -20.252 -0.063 -20.325 -0.102 8.502 0.388 3.429 0.289 43.641 42.135
41.000 -19.652 -0.133 -19.951 -0.067 -20.149 -0.054 -20.252 -0.063 -20.326 -0.102 8.471 0.392 3.447 0.295 43.639 42.140
41.400 -19.645 -0.134 -19.945 -0.068 -20.145 -0.054 -20.251 -0.063 -20.327 -0.102 8.440 0.397 3.466 0.302 43.638 42.144
41.800 -19.638 -0.135 -19.939 -0.070 -20.142 -0.055 -20.251 -0.063 -20.328 -0.102 8.409 0.402 3.485 0.309 43.636 42.149
42.200 -19.632 -0.136 -19.933 -0.071 -20.138 -0.055 -20.250 -0.063 -20.329 -0.102 8.377 0.408 3.505 0.317 43.635 42.154
42.600 -19.625 -0.137 -19.926 -0.073 -20.135 -0.056 -20.250 -0.063 -20.330 -0.102 8.345 0.413 3.526 0.324 43.633 42.160
43.000 -19.618 -0.139 -19.920 -0.075 -20.131 -0.057 -20.249 -0.063 -20.331 -0.102 8.313 0.419 3.547 0.333 43.631 42.165
43.400 -19.611 -0.140 -19.913 -0.077 -20.127 -0.057 -20.248 -0.063 -20.332 -0.101 8.280 0.424 3.568 0.341 43.630 42.170
43.800 -19.604 -0.142 -19.906 -0.078 -20.123 -0.058 -20.248 -0.063 -20.333 -0.101 8.247 0.430 3.590 0.349 43.628 42.175
44.200 -19.596 -0.143 -19.900 -0.080 -20.119 -0.059 -20.247 -0.063 -20.334 -0.101 8.213 0.435 3.613 0.358 43.626 42.180
