"Time (MJD)" G-5850.88 G-5850.88_err cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-22.000 -19.710 -0.053 -19.674 -0.035 -19.537 -0.050 -19.395 -0.050 -19.321 -0.060 -18.952 -0.205 19.407 2.105 0.914 0.093 43.926 43.290
-21.600 -19.760 -0.054 -19.723 -0.041 -19.586 -0.053 -19.443 -0.052 -19.370 -0.062 -19.007 -0.208 19.316 2.027 0.938 0.092 43.941 43.290
-21.200 -19.809 -0.057 -19.769 -0.047 -19.632 -0.056 -19.490 -0.055 -19.418 -0.066 -19.060 -0.210 19.236 1.948 0.962 0.091 43.955 43.289
-20.800 -19.855 -0.060 -19.814 -0.053 -19.678 -0.060 -19.536 -0.058 -19.465 -0.069 -19.113 -0.213 19.168 1.876 0.985 0.091 43.970 43.289
-20.400 -19.901 -0.065 -19.858 -0.059 -19.722 -0.064 -19.582 -0.062 -19.511 -0.074 -19.165 -0.216 19.111 1.812 1.008 0.090 43.985 43.290
-20.000 -19.945 -0.070 -19.900 -0.065 -19.766 -0.069 -19.628 -0.068 -19.557 -0.079 -19.215 -0.219 19.059 1.756 1.031 0.089 44.000 43.293
-19.600 -19.989 -0.076 -19.942 -0.072 -19.809 -0.074 -19.673 -0.074 -19.603 -0.084 -19.265 -0.222 19.003 1.707 1.055 0.089 44.015 43.296
-19.200 -20.032 -0.083 -19.983 -0.079 -19.851 -0.080 -19.718 -0.080 -19.649 -0.090 -19.314 -0.225 18.937 1.663 1.080 0.089 44.029 43.300
-18.800 -20.074 -0.090 -20.024 -0.086 -19.893 -0.086 -19.763 -0.087 -19.694 -0.097 -19.362 -0.228 18.860 1.625 1.106 0.090 44.042 43.305
-18.400 -20.116 -0.097 -20.065 -0.092 -19.936 -0.092 -19.807 -0.093 -19.739 -0.103 -19.409 -0.231 18.775 1.591 1.133 0.091 44.055 43.310
-18.000 -20.158 -0.104 -20.106 -0.099 -19.977 -0.099 -19.851 -0.100 -19.784 -0.109 -19.456 -0.234 18.681 1.562 1.160 0.092 44.068 43.316
-17.600 -20.199 -0.111 -20.146 -0.106 -20.019 -0.105 -19.895 -0.107 -19.829 -0.115 -19.502 -0.236 18.581 1.537 1.189 0.093 44.079 43.323
-17.200 -20.239 -0.118 -20.186 -0.112 -20.061 -0.111 -19.939 -0.113 -19.873 -0.121 -19.548 -0.239 18.476 1.517 1.219 0.095 44.091 43.330
-16.800 -20.279 -0.125 -20.225 -0.119 -20.102 -0.116 -19.982 -0.119 -19.917 -0.127 -19.593 -0.242 18.369 1.500 1.249 0.097 44.102 43.338
-16.400 -20.319 -0.131 -20.265 -0.124 -20.143 -0.122 -20.025 -0.124 -19.960 -0.132 -19.637 -0.244 18.259 1.486 1.280 0.099 44.113 43.346
-16.000 -20.358 -0.136 -20.304 -0.130 -20.184 -0.127 -20.067 -0.130 -20.003 -0.137 -19.681 -0.246 18.147 1.475 1.312 0.102 44.124 43.355
-15.600 -20.397 -0.142 -20.343 -0.135 -20.224 -0.132 -20.109 -0.134 -20.046 -0.141 -19.724 -0.248 18.036 1.466 1.344 0.105 44.134 43.365
-15.200 -20.435 -0.146 -20.382 -0.140 -20.264 -0.136 -20.151 -0.138 -20.088 -0.145 -19.766 -0.250 17.924 1.458 1.378 0.108 44.145 43.375
-14.800 -20.473 -0.150 -20.420 -0.144 -20.304 -0.140 -20.192 -0.142 -20.129 -0.149 -19.808 -0.251 17.813 1.452 1.411 0.111 44.155 43.385
-14.400 -20.510 -0.154 -20.457 -0.147 -20.343 -0.143 -20.232 -0.145 -20.170 -0.151 -19.849 -0.253 17.702 1.447 1.446 0.114 44.165 43.395
-14.000 -20.547 -0.157 -20.495 -0.150 -20.382 -0.146 -20.272 -0.147 -20.210 -0.153 -19.889 -0.254 17.592 1.442 1.480 0.118 44.175 43.404
-13.600 -20.583 -0.159 -20.531 -0.152 -20.420 -0.148 -20.311 -0.149 -20.250 -0.155 -19.929 -0.254 17.483 1.437 1.515 0.121 44.184 43.414
-13.200 -20.618 -0.161 -20.567 -0.154 -20.457 -0.149 -20.350 -0.150 -20.289 -0.156 -19.967 -0.254 17.374 1.432 1.551 0.125 44.194 43.423
-12.800 -20.653 -0.162 -20.602 -0.155 -20.494 -0.150 -20.387 -0.151 -20.327 -0.156 -20.005 -0.254 17.266 1.426 1.587 0.129 44.203 43.432
-12.400 -20.687 -0.163 -20.637 -0.156 -20.529 -0.150 -20.424 -0.150 -20.364 -0.156 -20.042 -0.254 17.158 1.418 1.623 0.132 44.211 43.440
-12.000 -20.720 -0.162 -20.671 -0.156 -20.564 -0.150 -20.460 -0.150 -20.400 -0.154 -20.078 -0.254 17.050 1.410 1.660 0.136 44.220 43.447
-11.600 -20.752 -0.161 -20.704 -0.155 -20.599 -0.149 -20.495 -0.148 -20.435 -0.153 -20.113 -0.253 16.942 1.399 1.697 0.139 44.228 43.453
-11.200 -20.784 -0.160 -20.736 -0.153 -20.632 -0.147 -20.529 -0.146 -20.469 -0.151 -20.147 -0.252 16.834 1.385 1.734 0.142 44.236 43.457
-10.800 -20.814 -0.157 -20.767 -0.151 -20.664 -0.145 -20.562 -0.143 -20.503 -0.148 -20.180 -0.250 16.724 1.369 1.771 0.145 44.243 43.461
-10.400 -20.844 -0.154 -20.797 -0.148 -20.695 -0.143 -20.594 -0.140 -20.535 -0.144 -20.212 -0.249 16.614 1.349 1.809 0.147 44.250 43.462
-10.000 -20.873 -0.151 -20.826 -0.145 -20.725 -0.139 -20.624 -0.136 -20.566 -0.140 -20.243 -0.247 16.504 1.325 1.847 0.149 44.256 43.462
-9.600 -20.900 -0.146 -20.854 -0.141 -20.754 -0.136 -20.654 -0.132 -20.595 -0.136 -20.273 -0.246 16.392 1.296 1.884 0.151 44.262 43.459
-9.200 -20.927 -0.141 -20.881 -0.137 -20.781 -0.132 -20.682 -0.127 -20.624 -0.131 -20.301 -0.244 16.280 1.262 1.922 0.151 44.267 43.454
-8.800 -20.953 -0.136 -20.907 -0.132 -20.807 -0.127 -20.709 -0.122 -20.651 -0.126 -20.328 -0.242 16.168 1.223 1.959 0.151 44.272 43.446
-8.400 -20.977 -0.129 -20.931 -0.126 -20.832 -0.122 -20.734 -0.117 -20.676 -0.120 -20.355 -0.240 16.058 1.178 1.996 0.150 44.276 43.435
-8.000 -21.000 -0.122 -20.955 -0.120 -20.856 -0.117 -20.758 -0.111 -20.701 -0.114 -20.379 -0.238 15.949 1.127 2.033 0.148 44.280 43.420
-7.600 -21.022 -0.115 -20.977 -0.114 -20.878 -0.111 -20.780 -0.105 -20.723 -0.108 -20.403 -0.237 15.844 1.069 2.068 0.144 44.283 43.401
-7.200 -21.043 -0.107 -20.997 -0.107 -20.898 -0.106 -20.801 -0.099 -20.744 -0.102 -20.425 -0.235 15.746 1.006 2.102 0.140 44.287 43.378
-6.800 -21.063 -0.098 -21.017 -0.100 -20.917 -0.100 -20.820 -0.093 -20.764 -0.096 -20.446 -0.234 15.656 0.937 2.134 0.134 44.290 43.351
-6.400 -21.081 -0.089 -21.035 -0.092 -20.935 -0.094 -20.838 -0.086 -20.782 -0.091 -20.466 -0.233 15.576 0.865 2.163 0.126 44.293 43.318
-6.000 -21.098 -0.080 -21.052 -0.085 -20.951 -0.088 -20.854 -0.080 -20.798 -0.085 -20.485 -0.232 15.509 0.789 2.190 0.118 44.296 43.281
-5.600 -21.114 -0.070 -21.067 -0.077 -20.965 -0.083 -20.868 -0.075 -20.812 -0.080 -20.502 -0.232 15.453 0.713 2.214 0.109 44.299 43.238
-5.200 -21.129 -0.060 -21.082 -0.070 -20.979 -0.077 -20.881 -0.069 -20.825 -0.075 -20.519 -0.232 15.405 0.638 2.235 0.099 44.302 43.190
-4.800 -21.143 -0.051 -21.095 -0.064 -20.991 -0.072 -20.892 -0.063 -20.837 -0.071 -20.534 -0.232 15.364 0.566 2.254 0.090 44.305 43.138
-4.400 -21.155 -0.042 -21.106 -0.058 -21.001 -0.068 -20.903 -0.058 -20.847 -0.067 -20.548 -0.233 15.332 0.500 2.271 0.081 44.308 43.083
-4.000 -21.166 -0.035 -21.117 -0.054 -21.011 -0.064 -20.912 -0.054 -20.857 -0.064 -20.561 -0.234 15.314 0.447 2.284 0.074 44.311 43.033
-3.600 -21.175 -0.033 -21.126 -0.052 -21.019 -0.062 -20.920 -0.050 -20.865 -0.062 -20.573 -0.235 15.323 0.416 2.292 0.069 44.315 43.005
-3.200 -21.184 -0.036 -21.134 -0.052 -21.027 -0.060 -20.927 -0.047 -20.873 -0.061 -20.584 -0.237 15.366 0.411 2.294 0.067 44.320 43.009
-2.800 -21.191 -0.042 -21.141 -0.054 -21.034 -0.060 -20.934 -0.047 -20.880 -0.062 -20.594 -0.239 15.425 0.424 2.293 0.068 44.326 43.035
-2.400 -21.197 -0.051 -21.147 -0.058 -21.040 -0.061 -20.940 -0.049 -20.886 -0.064 -20.604 -0.242 15.478 0.445 2.291 0.070 44.332 43.066
-2.000 -21.202 -0.060 -21.152 -0.063 -21.045 -0.063 -20.945 -0.052 -20.892 -0.068 -20.613 -0.245 15.509 0.466 2.293 0.073 44.336 43.092
-1.600 -21.206 -0.069 -21.157 -0.069 -21.049 -0.066 -20.951 -0.057 -20.897 -0.073 -20.620 -0.248 15.517 0.484 2.296 0.075 44.338 43.113
-1.200 -21.209 -0.079 -21.160 -0.075 -21.053 -0.069 -20.955 -0.063 -20.902 -0.078 -20.628 -0.251 15.503 0.498 2.303 0.078 44.339 43.127
-0.800 -21.211 -0.088 -21.162 -0.080 -21.057 -0.073 -20.959 -0.069 -20.906 -0.084 -20.634 -0.255 15.470 0.508 2.312 0.080 44.339 43.136
-0.400 -21.212 -0.096 -21.164 -0.086 -21.059 -0.076 -20.962 -0.074 -20.910 -0.090 -20.640 -0.259 15.420 0.513 2.322 0.081 44.337 43.140
-0.000 -21.212 -0.104 -21.164 -0.091 -21.061 -0.080 -20.965 -0.080 -20.913 -0.095 -20.645 -0.263 15.355 0.516 2.335 0.083 44.334 43.141
0.400 -21.212 -0.112 -21.164 -0.096 -21.062 -0.082 -20.968 -0.084 -20.916 -0.100 -20.650 -0.268 15.278 0.515 2.349 0.084 44.331 43.138
0.800 -21.211 -0.119 -21.164 -0.100 -21.063 -0.084 -20.969 -0.088 -20.918 -0.105 -20.654 -0.272 15.191 0.512 2.364 0.084 44.326 43.131
1.200 -21.209 -0.125 -21.162 -0.103 -21.063 -0.086 -20.970 -0.092 -20.919 -0.109 -20.658 -0.277 15.094 0.506 2.380 0.085 44.321 43.123
1.600 -21.206 -0.131 -21.160 -0.106 -21.062 -0.086 -20.971 -0.094 -20.920 -0.113 -20.660 -0.281 14.997 0.499 2.396 0.085 44.316 43.112
2.000 -21.202 -0.136 -21.157 -0.108 -21.061 -0.086 -20.971 -0.096 -20.921 -0.116 -20.663 -0.286 14.882 0.489 2.415 0.085 44.309 43.098
2.400 -21.198 -0.141 -21.154 -0.110 -21.059 -0.084 -20.970 -0.097 -20.920 -0.119 -20.664 -0.291 14.788 0.481 2.429 0.085 44.303 43.086
2.800 -21.193 -0.145 -21.150 -0.111 -21.057 -0.081 -20.969 -0.098 -20.920 -0.121 -20.666 -0.296 14.650 0.468 2.451 0.085 44.295 43.067
3.200 -21.187 -0.149 -21.145 -0.111 -21.054 -0.078 -20.967 -0.097 -20.918 -0.123 -20.666 -0.301 14.529 0.457 2.470 0.084 44.287 43.050
3.600 -21.181 -0.153 -21.140 -0.111 -21.050 -0.073 -20.964 -0.096 -20.916 -0.124 -20.666 -0.306 14.446 0.448 2.482 0.084 44.282 43.037
4.000 -21.174 -0.156 -21.134 -0.111 -21.046 -0.067 -20.961 -0.095 -20.914 -0.125 -20.666 -0.310 14.284 0.435 2.509 0.084 44.271 43.015
4.400 -21.167 -0.160 -21.127 -0.110 -21.041 -0.060 -20.958 -0.093 -20.911 -0.126 -20.665 -0.316 14.212 0.429 2.518 0.083 44.265 43.004
4.800 -21.159 -0.163 -21.120 -0.109 -21.035 -0.051 -20.953 -0.091 -20.907 -0.127 -20.663 -0.321 14.040 0.417 2.546 0.084 44.254 42.982
5.200 -21.150 -0.166 -21.112 -0.109 -21.029 -0.042 -20.948 -0.090 -20.903 -0.129 -20.661 -0.326 13.920 0.412 2.565 0.084 44.246 42.968
5.600 -21.140 -0.170 -21.104 -0.109 -21.023 -0.031 -20.943 -0.089 -20.898 -0.130 -20.658 -0.331 13.803 0.409 2.582 0.085 44.237 42.957
6.000 -21.130 -0.174 -21.095 -0.110 -21.015 -0.020 -20.937 -0.089 -20.892 -0.132 -20.655 -0.337 13.689 0.408 2.599 0.087 44.228 42.947
6.400 -21.119 -0.178 -21.085 -0.112 -21.008 -0.011 -20.930 -0.091 -20.886 -0.135 -20.651 -0.342 13.583 0.405 2.614 0.088 44.219 42.935
6.800 -21.108 -0.183 -21.075 -0.115 -20.999 -0.014 -20.923 -0.094 -20.879 -0.139 -20.646 -0.348 13.473 0.395 2.627 0.087 44.210 42.915
7.200 -21.096 -0.188 -21.064 -0.119 -20.990 -0.026 -20.915 -0.098 -20.872 -0.144 -20.641 -0.354 13.363 0.378 2.640 0.085 44.200 42.887
7.600 -21.083 -0.194 -21.052 -0.125 -20.980 -0.040 -20.906 -0.104 -20.864 -0.150 -20.636 -0.360 13.260 0.359 2.650 0.082 44.189 42.855
8.000 -21.070 -0.201 -21.040 -0.132 -20.970 -0.055 -20.897 -0.112 -20.855 -0.156 -20.629 -0.366 13.161 0.341 2.658 0.080 44.179 42.823
8.400 -21.056 -0.208 -21.027 -0.140 -20.958 -0.070 -20.887 -0.121 -20.846 -0.164 -20.623 -0.373 13.067 0.326 2.666 0.077 44.169 42.794
8.800 -21.042 -0.216 -21.014 -0.149 -20.946 -0.085 -20.877 -0.131 -20.836 -0.172 -20.615 -0.380 12.976 0.313 2.672 0.075 44.159 42.766
9.200 -21.027 -0.224 -20.999 -0.159 -20.934 -0.100 -20.865 -0.142 -20.825 -0.181 -20.608 -0.386 12.887 0.301 2.678 0.074 44.149 42.739
9.600 -21.011 -0.233 -20.984 -0.170 -20.921 -0.115 -20.853 -0.154 -20.814 -0.191 -20.599 -0.394 12.799 0.290 2.682 0.072 44.139 42.713
10.000 -20.994 -0.242 -20.969 -0.181 -20.907 -0.131 -20.841 -0.166 -20.802 -0.202 -20.590 -0.401 12.713 0.279 2.686 0.070 44.128 42.685
10.400 -20.977 -0.252 -20.953 -0.193 -20.892 -0.146 -20.828 -0.179 -20.790 -0.213 -20.581 -0.409 12.627 0.268 2.690 0.068 44.117 42.657
10.800 -20.960 -0.262 -20.936 -0.205 -20.877 -0.161 -20.814 -0.192 -20.777 -0.224 -20.571 -0.416 12.542 0.257 2.693 0.066 44.107 42.628
11.200 -20.942 -0.273 -20.919 -0.217 -20.861 -0.177 -20.800 -0.206 -20.763 -0.236 -20.560 -0.424 12.457 0.245 2.695 0.064 44.096 42.597
11.600 -20.923 -0.283 -20.901 -0.230 -20.845 -0.192 -20.785 -0.219 -20.749 -0.248 -20.549 -0.432 12.372 0.234 2.697 0.062 44.084 42.565
12.000 -20.904 -0.294 -20.883 -0.243 -20.828 -0.207 -20.769 -0.233 -20.734 -0.260 -20.537 -0.441 12.288 0.222 2.699 0.059 44.073 42.531
12.400 -20.884 -0.306 -20.864 -0.256 -20.811 -0.222 -20.753 -0.246 -20.718 -0.273 -20.525 -0.449 12.204 0.210 2.700 0.057 44.061 42.496
12.800 -20.864 -0.317 -20.844 -0.269 -20.793 -0.237 -20.736 -0.260 -20.702 -0.285 -20.512 -0.458 12.120 0.198 2.700 0.054 44.050 42.458
13.200 -20.843 -0.328 -20.824 -0.282 -20.774 -0.252 -20.719 -0.273 -20.686 -0.298 -20.499 -0.466 12.036 0.186 2.701 0.052 44.038 42.419
13.600 -20.821 -0.340 -20.804 -0.295 -20.755 -0.266 -20.702 -0.287 -20.669 -0.310 -20.486 -0.475 11.953 0.174 2.700 0.049 44.026 42.377
14.000 -20.799 -0.351 -20.783 -0.308 -20.736 -0.281 -20.683 -0.300 -20.652 -0.323 -20.471 -0.484 11.870 0.162 2.700 0.046 44.013 42.334
14.400 -20.777 -0.363 -20.761 -0.321 -20.716 -0.295 -20.665 -0.314 -20.634 -0.335 -20.457 -0.492 11.787 0.150 2.699 0.043 44.001 42.288
14.800 -20.754 -0.374 -20.739 -0.334 -20.695 -0.309 -20.646 -0.327 -20.615 -0.348 -20.442 -0.501 11.705 0.138 2.698 0.040 43.988 42.240
15.200 -20.731 -0.385 -20.717 -0.346 -20.674 -0.322 -20.626 -0.340 -20.596 -0.360 -20.426 -0.510 11.623 0.127 2.696 0.037 43.976 42.190
15.600 -20.707 -0.397 -20.694 -0.359 -20.653 -0.336 -20.606 -0.352 -20.577 -0.372 -20.410 -0.519 11.542 0.116 2.694 0.034 43.963 42.137
16.000 -20.683 -0.408 -20.670 -0.371 -20.631 -0.349 -20.585 -0.365 -20.557 -0.384 -20.394 -0.527 11.462 0.105 2.691 0.032 43.950 42.082
16.400 -20.659 -0.419 -20.647 -0.383 -20.609 -0.361 -20.565 -0.377 -20.537 -0.395 -20.377 -0.536 11.382 0.095 2.688 0.029 43.937 42.025
16.800 -20.634 -0.429 -20.623 -0.395 -20.586 -0.374 -20.543 -0.389 -20.517 -0.407 -20.360 -0.544 11.303 0.086 2.685 0.026 43.923 41.967
17.200 -20.608 -0.440 -20.598 -0.406 -20.563 -0.386 -20.522 -0.401 -20.496 -0.418 -20.343 -0.553 11.225 0.077 2.681 0.024 43.910 41.908
17.600 -20.583 -0.450 -20.573 -0.417 -20.540 -0.398 -20.499 -0.412 -20.474 -0.429 -20.325 -0.561 11.148 0.070 2.676 0.022 43.897 41.850
18.000 -20.557 -0.460 -20.548 -0.428 -20.516 -0.409 -20.477 -0.423 -20.452 -0.440 -20.307 -0.569 11.072 0.064 2.672 0.020 43.883 41.795
18.400 -20.530 -0.470 -20.522 -0.439 -20.492 -0.421 -20.454 -0.434 -20.430 -0.450 -20.288 -0.577 10.996 0.059 2.666 0.019 43.870 41.748
18.800 -20.503 -0.480 -20.496 -0.449 -20.467 -0.431 -20.431 -0.445 -20.408 -0.460 -20.269 -0.585 10.922 0.056 2.661 0.018 43.856 41.711
19.200 -20.476 -0.489 -20.470 -0.459 -20.442 -0.442 -20.407 -0.455 -20.385 -0.470 -20.250 -0.592 10.848 0.055 2.655 0.018 43.842 41.688
19.600 -20.449 -0.498 -20.443 -0.469 -20.417 -0.452 -20.383 -0.465 -20.362 -0.479 -20.230 -0.600 10.776 0.056 2.649 0.018 43.829 41.680
20.000 -20.421 -0.507 -20.416 -0.478 -20.392 -0.462 -20.359 -0.474 -20.338 -0.489 -20.210 -0.607 10.704 0.058 2.642 0.019 43.815 41.684
20.400 -20.393 -0.515 -20.389 -0.487 -20.366 -0.471 -20.335 -0.483 -20.315 -0.497 -20.190 -0.614 10.633 0.062 2.635 0.021 43.801 41.697
20.800 -20.365 -0.523 -20.361 -0.495 -20.340 -0.480 -20.310 -0.492 -20.291 -0.506 -20.169 -0.621 10.563 0.067 2.627 0.023 43.787 41.714
21.200 -20.336 -0.531 -20.334 -0.504 -20.314 -0.488 -20.285 -0.500 -20.266 -0.514 -20.148 -0.627 10.495 0.072 2.619 0.025 43.773 41.733
21.600 -20.307 -0.538 -20.306 -0.511 -20.287 -0.496 -20.260 -0.508 -20.242 -0.521 -20.127 -0.633 10.427 0.078 2.611 0.027 43.759 41.753
22.000 -20.278 -0.545 -20.277 -0.519 -20.260 -0.504 -20.234 -0.515 -20.217 -0.529 -20.106 -0.639 10.360 0.085 2.603 0.029 43.745 41.771
22.400 -20.248 -0.552 -20.249 -0.526 -20.233 -0.511 -20.208 -0.523 -20.192 -0.536 -20.084 -0.645 10.293 0.091 2.594 0.032 43.731 41.787
22.800 -20.219 -0.558 -20.220 -0.532 -20.206 -0.518 -20.182 -0.529 -20.166 -0.542 -20.063 -0.650 10.228 0.098 2.585 0.034 43.717 41.802
23.200 -20.189 -0.564 -20.191 -0.538 -20.178 -0.524 -20.156 -0.535 -20.141 -0.548 -20.041 -0.655 10.164 0.104 2.575 0.037 43.703 41.814
23.600 -20.159 -0.569 -20.162 -0.544 -20.150 -0.530 -20.130 -0.541 -20.115 -0.554 -20.018 -0.660 10.101 0.111 2.565 0.040 43.689 41.825
24.000 -20.129 -0.574 -20.132 -0.549 -20.122 -0.536 -20.103 -0.547 -20.089 -0.559 -19.996 -0.664 10.038 0.117 2.555 0.042 43.674 41.834
24.400 -20.098 -0.579 -20.103 -0.554 -20.094 -0.541 -20.076 -0.552 -20.063 -0.564 -19.973 -0.668 9.977 0.124 2.545 0.045 43.660 41.841
24.800 -20.068 -0.583 -20.073 -0.559 -20.066 -0.545 -20.049 -0.556 -20.037 -0.569 -19.950 -0.672 9.916 0.130 2.535 0.047 43.646 41.847
25.200 -20.037 -0.587 -20.043 -0.563 -20.037 -0.549 -20.022 -0.560 -20.010 -0.573 -19.927 -0.675 9.856 0.136 2.524 0.050 43.632 41.851
