"Time (MJD)" cyan-5182.42 cyan-5182.42_err g-4735.89 g-4735.89_err g-4746.48 g-4746.48_err i-7645.77 i-7645.77_err i-7829.03 i-7829.03_err orange-6629.82 orange-6629.82_err r-6198.96 r-6198.96_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-23.000 -21.626 -0.056 -21.626 -0.055 -21.603 -0.054 -21.507 -0.066 -21.486 -0.068 -21.451 -0.071 -21.291 -0.095 -21.260 -0.102 16.029 0.167 2.523 0.033 44.476 42.677
-22.600 -21.650 -0.054 -21.650 -0.054 -21.627 -0.053 -21.533 -0.066 -21.512 -0.068 -21.477 -0.072 -21.317 -0.096 -21.285 -0.103 15.982 0.168 2.562 0.034 44.484 42.688
-22.200 -21.674 -0.053 -21.673 -0.052 -21.652 -0.052 -21.558 -0.066 -21.538 -0.069 -21.502 -0.072 -21.342 -0.097 -21.311 -0.104 15.932 0.170 2.601 0.035 44.492 42.696
-21.800 -21.697 -0.051 -21.696 -0.051 -21.675 -0.051 -21.583 -0.066 -21.563 -0.069 -21.528 -0.072 -21.367 -0.097 -21.336 -0.104 15.881 0.170 2.640 0.036 44.500 42.703
-21.400 -21.719 -0.049 -21.719 -0.049 -21.699 -0.050 -21.608 -0.066 -21.587 -0.069 -21.552 -0.073 -21.392 -0.098 -21.361 -0.105 15.829 0.171 2.680 0.037 44.507 42.708
-21.000 -21.741 -0.048 -21.740 -0.048 -21.721 -0.049 -21.631 -0.066 -21.611 -0.069 -21.576 -0.073 -21.417 -0.098 -21.385 -0.105 15.774 0.170 2.720 0.038 44.514 42.711
-20.600 -21.762 -0.047 -21.762 -0.046 -21.743 -0.048 -21.655 -0.066 -21.635 -0.068 -21.600 -0.073 -21.441 -0.098 -21.409 -0.105 15.719 0.170 2.761 0.039 44.521 42.714
-20.200 -21.783 -0.045 -21.782 -0.045 -21.765 -0.047 -21.678 -0.066 -21.658 -0.068 -21.623 -0.073 -21.464 -0.099 -21.433 -0.105 15.661 0.169 2.802 0.040 44.527 42.716
-19.800 -21.803 -0.044 -21.803 -0.044 -21.785 -0.047 -21.700 -0.066 -21.680 -0.068 -21.646 -0.072 -21.487 -0.099 -21.456 -0.106 15.602 0.168 2.843 0.040 44.533 42.717
-19.400 -21.822 -0.043 -21.822 -0.043 -21.806 -0.046 -21.721 -0.065 -21.702 -0.068 -21.668 -0.072 -21.510 -0.099 -21.478 -0.106 15.541 0.167 2.885 0.041 44.539 42.718
-19.000 -21.841 -0.043 -21.841 -0.042 -21.825 -0.046 -21.742 -0.065 -21.723 -0.068 -21.690 -0.072 -21.532 -0.099 -21.500 -0.105 15.479 0.166 2.927 0.042 44.545 42.719
-18.600 -21.859 -0.042 -21.859 -0.042 -21.844 -0.045 -21.763 -0.065 -21.744 -0.067 -21.711 -0.072 -21.554 -0.098 -21.522 -0.105 15.415 0.165 2.969 0.042 44.550 42.720
-18.200 -21.876 -0.042 -21.876 -0.042 -21.862 -0.045 -21.783 -0.064 -21.764 -0.067 -21.731 -0.071 -21.575 -0.098 -21.543 -0.105 15.351 0.164 3.011 0.043 44.555 42.722
-17.800 -21.893 -0.042 -21.893 -0.042 -21.880 -0.045 -21.802 -0.064 -21.783 -0.067 -21.751 -0.071 -21.596 -0.098 -21.564 -0.105 15.285 0.163 3.054 0.043 44.560 42.724
-17.400 -21.909 -0.043 -21.909 -0.043 -21.897 -0.046 -21.821 -0.064 -21.802 -0.066 -21.770 -0.071 -21.616 -0.097 -21.585 -0.104 15.219 0.162 3.096 0.044 44.564 42.726
-17.000 -21.925 -0.044 -21.925 -0.043 -21.913 -0.046 -21.839 -0.064 -21.820 -0.066 -21.789 -0.071 -21.636 -0.097 -21.604 -0.104 15.153 0.161 3.138 0.045 44.568 42.729
-16.600 -21.940 -0.044 -21.939 -0.044 -21.929 -0.047 -21.856 -0.064 -21.838 -0.066 -21.807 -0.070 -21.655 -0.096 -21.624 -0.103 15.087 0.159 3.180 0.045 44.572 42.731
-16.200 -21.954 -0.045 -21.954 -0.045 -21.944 -0.047 -21.873 -0.064 -21.855 -0.066 -21.824 -0.070 -21.674 -0.096 -21.642 -0.102 15.021 0.158 3.222 0.046 44.576 42.732
-15.800 -21.967 -0.047 -21.967 -0.046 -21.958 -0.048 -21.889 -0.063 -21.872 -0.066 -21.841 -0.070 -21.692 -0.095 -21.661 -0.101 14.956 0.156 3.263 0.046 44.579 42.733
-15.400 -21.980 -0.048 -21.980 -0.048 -21.972 -0.049 -21.904 -0.063 -21.887 -0.065 -21.857 -0.069 -21.709 -0.094 -21.678 -0.100 14.890 0.154 3.304 0.046 44.583 42.732
-15.000 -21.993 -0.049 -21.993 -0.049 -21.985 -0.050 -21.919 -0.063 -21.903 -0.065 -21.873 -0.069 -21.726 -0.093 -21.696 -0.099 14.826 0.152 3.345 0.046 44.586 42.731
-14.600 -22.005 -0.050 -22.005 -0.050 -21.997 -0.050 -21.934 -0.063 -21.917 -0.065 -21.888 -0.069 -21.743 -0.092 -21.712 -0.098 14.761 0.149 3.385 0.046 44.589 42.729
-14.200 -22.016 -0.051 -22.016 -0.051 -22.009 -0.051 -21.947 -0.063 -21.931 -0.065 -21.902 -0.068 -21.759 -0.091 -21.729 -0.097 14.698 0.147 3.425 0.046 44.591 42.725
-13.800 -22.026 -0.052 -22.027 -0.052 -22.021 -0.052 -21.961 -0.063 -21.945 -0.065 -21.916 -0.068 -21.774 -0.090 -21.744 -0.096 14.635 0.144 3.465 0.046 44.594 42.720
-13.400 -22.037 -0.053 -22.037 -0.053 -22.031 -0.053 -21.973 -0.063 -21.957 -0.065 -21.930 -0.068 -21.789 -0.089 -21.760 -0.095 14.573 0.140 3.503 0.045 44.596 42.714
-13.000 -22.046 -0.054 -22.046 -0.054 -22.042 -0.054 -21.985 -0.063 -21.970 -0.064 -21.942 -0.067 -21.804 -0.087 -21.774 -0.093 14.511 0.136 3.542 0.045 44.598 42.707
-12.600 -22.055 -0.055 -22.055 -0.055 -22.051 -0.054 -21.996 -0.063 -21.981 -0.064 -21.955 -0.067 -21.818 -0.086 -21.788 -0.092 14.450 0.132 3.579 0.044 44.600 42.697
-12.200 -22.064 -0.056 -22.064 -0.056 -22.061 -0.055 -22.007 -0.063 -21.993 -0.064 -21.966 -0.066 -21.831 -0.085 -21.802 -0.090 14.390 0.128 3.616 0.044 44.602 42.687
-11.800 -22.072 -0.057 -22.072 -0.057 -22.069 -0.055 -22.018 -0.062 -22.003 -0.064 -21.977 -0.066 -21.844 -0.083 -21.815 -0.089 14.331 0.124 3.653 0.043 44.603 42.675
-11.400 -22.080 -0.057 -22.080 -0.057 -22.077 -0.056 -22.027 -0.062 -22.013 -0.063 -21.988 -0.065 -21.856 -0.082 -21.828 -0.087 14.272 0.119 3.689 0.042 44.605 42.661
-11.000 -22.087 -0.058 -22.087 -0.058 -22.085 -0.056 -22.036 -0.062 -22.023 -0.063 -21.998 -0.065 -21.868 -0.080 -21.840 -0.085 14.213 0.114 3.724 0.041 44.606 42.646
-10.600 -22.093 -0.058 -22.093 -0.058 -22.092 -0.056 -22.045 -0.062 -22.032 -0.062 -22.007 -0.064 -21.879 -0.078 -21.851 -0.084 14.155 0.110 3.759 0.039 44.607 42.630
-10.200 -22.099 -0.058 -22.099 -0.058 -22.098 -0.056 -22.053 -0.061 -22.040 -0.062 -22.016 -0.063 -21.890 -0.077 -21.862 -0.082 14.098 0.105 3.793 0.038 44.608 42.612
-9.800 -22.105 -0.058 -22.105 -0.058 -22.105 -0.056 -22.061 -0.061 -22.048 -0.061 -22.024 -0.063 -21.900 -0.075 -21.873 -0.080 14.041 0.100 3.827 0.037 44.608 42.593
-9.400 -22.110 -0.058 -22.110 -0.058 -22.110 -0.056 -22.068 -0.060 -22.055 -0.061 -22.032 -0.062 -21.910 -0.073 -21.883 -0.078 13.985 0.095 3.860 0.036 44.609 42.573
-9.000 -22.115 -0.058 -22.115 -0.058 -22.115 -0.056 -22.075 -0.059 -22.062 -0.060 -22.040 -0.061 -21.919 -0.071 -21.892 -0.076 13.930 0.090 3.892 0.034 44.609 42.552
-8.600 -22.119 -0.058 -22.119 -0.058 -22.120 -0.055 -22.081 -0.059 -22.069 -0.059 -22.047 -0.060 -21.928 -0.069 -21.901 -0.074 13.876 0.086 3.923 0.033 44.609 42.530
-8.200 -22.123 -0.057 -22.123 -0.057 -22.124 -0.055 -22.086 -0.058 -22.075 -0.058 -22.053 -0.059 -21.936 -0.067 -21.910 -0.072 13.822 0.081 3.954 0.032 44.609 42.507
-7.800 -22.126 -0.057 -22.126 -0.057 -22.128 -0.054 -22.092 -0.057 -22.080 -0.057 -22.059 -0.058 -21.944 -0.066 -21.918 -0.070 13.769 0.077 3.984 0.030 44.609 42.484
-7.400 -22.129 -0.056 -22.129 -0.056 -22.131 -0.053 -22.096 -0.056 -22.085 -0.056 -22.064 -0.057 -21.951 -0.064 -21.925 -0.068 13.717 0.073 4.013 0.029 44.609 42.462
-7.000 -22.131 -0.055 -22.131 -0.055 -22.134 -0.052 -22.101 -0.055 -22.090 -0.055 -22.069 -0.056 -21.958 -0.062 -21.932 -0.066 13.666 0.069 4.041 0.028 44.608 42.440
-6.600 -22.133 -0.054 -22.133 -0.054 -22.137 -0.051 -22.105 -0.054 -22.094 -0.054 -22.074 -0.055 -21.964 -0.060 -21.939 -0.064 13.616 0.066 4.068 0.027 44.608 42.419
-6.200 -22.135 -0.053 -22.135 -0.053 -22.139 -0.050 -22.108 -0.053 -22.098 -0.053 -22.078 -0.053 -21.970 -0.058 -21.945 -0.063 13.567 0.063 4.095 0.026 44.607 42.400
-5.800 -22.136 -0.052 -22.136 -0.052 -22.140 -0.049 -22.111 -0.052 -22.101 -0.052 -22.082 -0.052 -21.975 -0.057 -21.950 -0.061 13.519 0.061 4.120 0.026 44.606 42.382
-5.400 -22.137 -0.051 -22.137 -0.051 -22.142 -0.048 -22.114 -0.051 -22.104 -0.051 -22.085 -0.051 -21.979 -0.055 -21.955 -0.059 13.472 0.059 4.145 0.025 44.606 42.367
-5.000 -22.138 -0.050 -22.138 -0.049 -22.143 -0.047 -22.116 -0.049 -22.107 -0.050 -22.088 -0.050 -21.984 -0.054 -21.960 -0.058 13.427 0.058 4.168 0.025 44.605 42.354
-4.600 -22.138 -0.048 -22.138 -0.048 -22.143 -0.045 -22.118 -0.048 -22.109 -0.048 -22.091 -0.049 -21.987 -0.052 -21.964 -0.057 13.382 0.056 4.191 0.025 44.604 42.342
-4.200 -22.137 -0.047 -22.138 -0.047 -22.144 -0.044 -22.120 -0.047 -22.111 -0.047 -22.093 -0.047 -21.991 -0.051 -21.967 -0.055 13.339 0.055 4.212 0.024 44.602 42.332
-3.800 -22.137 -0.045 -22.137 -0.045 -22.144 -0.043 -22.121 -0.046 -22.112 -0.046 -22.095 -0.046 -21.994 -0.050 -21.971 -0.054 13.296 0.055 4.233 0.024 44.601 42.324
-3.400 -22.136 -0.044 -22.136 -0.044 -22.143 -0.041 -22.123 -0.045 -22.114 -0.045 -22.096 -0.045 -21.996 -0.049 -21.974 -0.053 13.255 0.054 4.253 0.024 44.600 42.316
-3.000 -22.135 -0.043 -22.135 -0.042 -22.143 -0.040 -22.123 -0.043 -22.114 -0.044 -22.097 -0.044 -21.998 -0.047 -21.976 -0.052 13.214 0.053 4.272 0.024 44.598 42.309
-2.600 -22.133 -0.041 -22.134 -0.041 -22.142 -0.039 -22.124 -0.042 -22.115 -0.042 -22.098 -0.043 -22.000 -0.046 -21.978 -0.051 13.175 0.053 4.290 0.024 44.597 42.301
-2.200 -22.132 -0.040 -22.132 -0.040 -22.141 -0.038 -22.124 -0.041 -22.115 -0.041 -22.099 -0.042 -22.002 -0.045 -21.980 -0.050 13.136 0.052 4.307 0.024 44.595 42.293
-1.800 -22.130 -0.038 -22.130 -0.038 -22.139 -0.037 -22.124 -0.040 -22.115 -0.040 -22.099 -0.041 -22.003 -0.044 -21.981 -0.049 13.098 0.052 4.324 0.024 44.593 42.285
-1.400 -22.127 -0.037 -22.128 -0.037 -22.138 -0.036 -22.123 -0.039 -22.115 -0.039 -22.099 -0.040 -22.004 -0.043 -21.982 -0.048 13.061 0.051 4.340 0.024 44.592 42.277
-1.000 -22.125 -0.036 -22.125 -0.036 -22.136 -0.035 -22.123 -0.038 -22.115 -0.038 -22.099 -0.039 -22.005 -0.043 -21.983 -0.047 13.023 0.051 4.356 0.024 44.590 42.269
-0.600 -22.122 -0.035 -22.122 -0.035 -22.133 -0.034 -22.122 -0.037 -22.114 -0.037 -22.098 -0.038 -22.005 -0.042 -21.984 -0.047 12.986 0.051 4.371 0.025 44.588 42.262
-0.200 -22.119 -0.034 -22.119 -0.034 -22.131 -0.033 -22.121 -0.036 -22.113 -0.037 -22.098 -0.038 -22.005 -0.042 -21.984 -0.046 12.948 0.050 4.386 0.025 44.586 42.255
0.200 -22.115 -0.033 -22.116 -0.033 -22.128 -0.033 -22.119 -0.036 -22.112 -0.036 -22.097 -0.037 -22.005 -0.041 -21.985 -0.046 12.909 0.050 4.401 0.025 44.584 42.249
0.600 -22.111 -0.033 -22.112 -0.033 -22.125 -0.032 -22.118 -0.035 -22.111 -0.035 -22.096 -0.037 -22.005 -0.041 -21.985 -0.046 12.870 0.050 4.416 0.025 44.581 42.243
1.000 -22.107 -0.033 -22.108 -0.032 -22.122 -0.032 -22.116 -0.035 -22.109 -0.035 -22.094 -0.036 -22.004 -0.041 -21.984 -0.046 12.830 0.050 4.431 0.025 44.579 42.238
1.400 -22.103 -0.032 -22.104 -0.032 -22.119 -0.032 -22.114 -0.035 -22.107 -0.035 -22.093 -0.036 -22.004 -0.041 -21.984 -0.046 12.789 0.050 4.447 0.025 44.576 42.234
1.800 -22.099 -0.033 -22.099 -0.032 -22.115 -0.032 -22.112 -0.034 -22.105 -0.035 -22.091 -0.036 -22.003 -0.042 -21.983 -0.046 12.747 0.050 4.462 0.026 44.574 42.230
2.200 -22.094 -0.033 -22.094 -0.033 -22.111 -0.032 -22.109 -0.034 -22.103 -0.035 -22.089 -0.036 -22.002 -0.042 -21.983 -0.047 12.703 0.050 4.478 0.026 44.571 42.227
2.600 -22.089 -0.033 -22.089 -0.033 -22.106 -0.033 -22.107 -0.035 -22.100 -0.035 -22.087 -0.036 -22.001 -0.042 -21.982 -0.047 12.658 0.050 4.495 0.026 44.568 42.224
3.000 -22.083 -0.034 -22.084 -0.034 -22.102 -0.033 -22.104 -0.035 -22.098 -0.035 -22.084 -0.036 -22.000 -0.043 -21.981 -0.048 12.613 0.050 4.511 0.026 44.565 42.222
3.400 -22.078 -0.035 -22.078 -0.034 -22.097 -0.034 -22.100 -0.035 -22.095 -0.035 -22.082 -0.036 -21.998 -0.043 -21.980 -0.048 12.566 0.050 4.528 0.027 44.561 42.220
3.800 -22.072 -0.035 -22.072 -0.035 -22.091 -0.034 -22.097 -0.035 -22.092 -0.036 -22.079 -0.037 -21.997 -0.044 -21.979 -0.049 12.518 0.050 4.545 0.027 44.558 42.218
4.200 -22.066 -0.036 -22.066 -0.036 -22.086 -0.035 -22.093 -0.036 -22.088 -0.036 -22.076 -0.037 -21.996 -0.045 -21.978 -0.049 12.469 0.051 4.563 0.027 44.555 42.218
4.600 -22.059 -0.037 -22.060 -0.037 -22.080 -0.036 -22.090 -0.036 -22.085 -0.036 -22.073 -0.037 -21.994 -0.045 -21.977 -0.050 12.420 0.051 4.581 0.028 44.551 42.219
5.000 -22.052 -0.039 -22.053 -0.038 -22.074 -0.037 -22.085 -0.037 -22.081 -0.037 -22.070 -0.038 -21.992 -0.046 -21.975 -0.051 12.369 0.052 4.599 0.029 44.547 42.221
5.400 -22.045 -0.040 -22.046 -0.040 -22.068 -0.038 -22.081 -0.037 -22.077 -0.037 -22.066 -0.038 -21.990 -0.046 -21.974 -0.051 12.325 0.053 4.613 0.029 44.544 42.226
5.800 -22.038 -0.041 -22.039 -0.041 -22.062 -0.039 -22.076 -0.038 -22.073 -0.038 -22.063 -0.039 -21.989 -0.047 -21.972 -0.052 12.266 0.054 4.635 0.030 44.540 42.231
6.200 -22.031 -0.043 -22.032 -0.043 -22.055 -0.040 -22.071 -0.038 -22.068 -0.039 -22.059 -0.039 -21.987 -0.048 -21.970 -0.052 12.214 0.055 4.654 0.031 44.536 42.239
6.600 -22.023 -0.044 -22.024 -0.044 -22.048 -0.041 -22.066 -0.039 -22.063 -0.039 -22.054 -0.040 -21.984 -0.048 -21.969 -0.053 12.168 0.057 4.668 0.033 44.532 42.252
7.000 -22.015 -0.046 -22.016 -0.046 -22.041 -0.042 -22.061 -0.040 -22.058 -0.040 -22.050 -0.040 -21.982 -0.049 -21.967 -0.054 12.107 0.059 4.692 0.034 44.528 42.264
7.400 -22.007 -0.048 -22.008 -0.047 -22.033 -0.043 -22.055 -0.041 -22.053 -0.040 -22.045 -0.041 -21.980 -0.049 -21.965 -0.054 12.053 0.062 4.710 0.036 44.523 42.280
7.800 -21.999 -0.049 -22.000 -0.049 -22.025 -0.045 -22.049 -0.041 -22.047 -0.041 -22.040 -0.042 -21.977 -0.050 -21.962 -0.055 12.007 0.065 4.725 0.038 44.519 42.301
8.200 -21.991 -0.051 -21.991 -0.051 -22.017 -0.046 -22.043 -0.042 -22.041 -0.042 -22.035 -0.042 -21.975 -0.051 -21.960 -0.056 11.944 0.069 4.748 0.041 44.515 42.320
8.600 -21.982 -0.052 -21.983 -0.052 -22.009 -0.047 -22.036 -0.043 -22.035 -0.043 -22.030 -0.043 -21.972 -0.052 -21.958 -0.057 11.890 0.073 4.767 0.044 44.510 42.343
9.000 -21.973 -0.054 -21.974 -0.054 -22.001 -0.048 -22.030 -0.043 -22.029 -0.043 -22.024 -0.044 -21.969 -0.052 -21.955 -0.057 11.836 0.078 4.785 0.048 44.505 42.366
9.400 -21.964 -0.055 -21.964 -0.055 -21.992 -0.050 -22.023 -0.044 -22.022 -0.044 -22.018 -0.044 -21.966 -0.053 -21.953 -0.058 11.782 0.084 4.804 0.052 44.501 42.389
9.800 -21.954 -0.057 -21.955 -0.057 -21.984 -0.051 -22.016 -0.045 -22.016 -0.045 -22.012 -0.045 -21.963 -0.054 -21.950 -0.059 11.728 0.089 4.822 0.056 44.496 42.412
10.200 -21.945 -0.058 -21.946 -0.058 -21.975 -0.052 -22.008 -0.046 -22.009 -0.045 -22.006 -0.046 -21.960 -0.055 -21.947 -0.060 11.675 0.095 4.840 0.060 44.491 42.432
10.600 -21.935 -0.059 -21.936 -0.059 -21.965 -0.053 -22.001 -0.047 -22.002 -0.046 -22.000 -0.047 -21.956 -0.056 -21.944 -0.061 11.621 0.101 4.857 0.064 44.487 42.452
11.000 -21.925 -0.061 -21.926 -0.060 -21.956 -0.054 -21.994 -0.047 -21.995 -0.047 -21.993 -0.047 -21.952 -0.057 -21.941 -0.063 11.569 0.106 4.875 0.069 44.482 42.469
11.400 -21.915 -0.062 -21.916 -0.061 -21.947 -0.055 -21.986 -0.048 -21.987 -0.048 -21.987 -0.048 -21.949 -0.059 -21.938 -0.064 11.516 0.112 4.892 0.073 44.477 42.484
11.800 -21.905 -0.063 -21.906 -0.062 -21.937 -0.055 -21.978 -0.049 -21.980 -0.048 -21.980 -0.049 -21.945 -0.060 -21.934 -0.065 11.464 0.117 4.909 0.077 44.472 42.497
12.200 -21.894 -0.064 -21.895 -0.063 -21.927 -0.056 -21.970 -0.049 -21.973 -0.049 -21.973 -0.050 -21.941 -0.061 -21.931 -0.066 11.413 0.122 4.925 0.082 44.467 42.509
12.600 -21.884 -0.064 -21.885 -0.064 -21.917 -0.057 -21.962 -0.050 -21.965 -0.050 -21.966 -0.050 -21.937 -0.062 -21.927 -0.067 11.362 0.128 4.942 0.086 44.462 42.519
13.000 -21.873 -0.065 -21.874 -0.065 -21.907 -0.058 -21.954 -0.051 -21.957 -0.051 -21.959 -0.051 -21.932 -0.063 -21.924 -0.069 11.311 0.132 4.958 0.091 44.457 42.527
13.400 -21.862 -0.066 -21.863 -0.065 -21.897 -0.058 -21.946 -0.051 -21.950 -0.051 -21.952 -0.052 -21.928 -0.064 -21.920 -0.070 11.261 0.137 4.974 0.095 44.452 42.535
13.800 -21.851 -0.066 -21.852 -0.066 -21.886 -0.058 -21.938 -0.052 -21.942 -0.052 -21.944 -0.052 -21.924 -0.065 -21.916 -0.071 11.211 0.142 4.989 0.099 44.448 42.541
14.200 -21.840 -0.067 -21.841 -0.067 -21.876 -0.059 -21.929 -0.052 -21.934 -0.052 -21.937 -0.053 -21.919 -0.066 -21.911 -0.072 11.162 0.146 5.005 0.104 44.443 42.546
14.600 -21.829 -0.067 -21.830 -0.067 -21.865 -0.059 -21.921 -0.053 -21.926 -0.053 -21.930 -0.053 -21.914 -0.067 -21.907 -0.073 11.112 0.150 5.020 0.108 44.438 42.550
15.000 -21.817 -0.068 -21.818 -0.067 -21.855 -0.059 -21.912 -0.053 -21.917 -0.053 -21.922 -0.054 -21.909 -0.068 -21.903 -0.074 11.072 0.154 5.029 0.112 44.433 42.554
15.400 -21.806 -0.068 -21.807 -0.068 -21.844 -0.060 -21.904 -0.053 -21.909 -0.053 -21.914 -0.054 -21.904 -0.069 -21.899 -0.074 11.015 0.158 5.051 0.116 44.427 42.556
15.800 -21.794 -0.068 -21.795 -0.068 -21.833 -0.060 -21.895 -0.054 -21.901 -0.054 -21.907 -0.054 -21.899 -0.070 -21.894 -0.075 10.967 0.162 5.066 0.120 44.422 42.557
16.200 -21.782 -0.069 -21.783 -0.068 -21.822 -0.060 -21.886 -0.054 -21.892 -0.054 -21.899 -0.055 -21.894 -0.070 -21.889 -0.076 10.918 0.165 5.081 0.124 44.417 42.558
16.600 -21.771 -0.069 -21.772 -0.069 -21.811 -0.060 -21.877 -0.054 -21.884 -0.054 -21.891 -0.055 -21.889 -0.071 -21.885 -0.076 10.870 0.168 5.096 0.128 44.412 42.559
17.000 -21.759 -0.069 -21.760 -0.069 -21.800 -0.060 -21.869 -0.054 -21.876 -0.054 -21.883 -0.055 -21.884 -0.071 -21.880 -0.077 10.823 0.172 5.111 0.132 44.407 42.559
17.400 -21.747 -0.069 -21.748 -0.069 -21.788 -0.060 -21.860 -0.055 -21.867 -0.055 -21.876 -0.056 -21.879 -0.072 -21.875 -0.077 10.775 0.175 5.126 0.136 44.402 42.559
17.800 -21.735 -0.070 -21.736 -0.069 -21.777 -0.061 -21.851 -0.055 -21.858 -0.055 -21.868 -0.056 -21.873 -0.072 -21.870 -0.078 10.728 0.178 5.141 0.140 44.397 42.558
18.200 -21.723 -0.070 -21.724 -0.070 -21.766 -0.061 -21.841 -0.055 -21.850 -0.055 -21.860 -0.056 -21.868 -0.072 -21.865 -0.078 10.682 0.181 5.156 0.144 44.392 42.558
18.600 -21.711 -0.070 -21.712 -0.070 -21.754 -0.061 -21.832 -0.055 -21.841 -0.055 -21.852 -0.056 -21.862 -0.072 -21.860 -0.078 10.635 0.183 5.171 0.148 44.387 42.557
