"Time (MJD)" G-5850.88 G-5850.88_err cyan-5182.42 cyan-5182.42_err g-4746.48 g-4746.48_err orange-6629.82 orange-6629.82_err r-6366.38 r-6366.38_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-18.200 -21.687 -0.163 -21.627 -0.137 -21.529 -0.109 -21.450 -0.106 -21.409 -0.113 15.699 0.099 2.740 0.019 44.512 42.578
-17.800 -21.710 -0.168 -21.651 -0.141 -21.554 -0.113 -21.476 -0.110 -21.436 -0.116 15.591 0.098 2.793 0.019 44.516 42.578
-17.400 -21.732 -0.172 -21.675 -0.145 -21.579 -0.117 -21.502 -0.113 -21.462 -0.118 15.485 0.098 2.847 0.020 44.521 42.580
-17.000 -21.754 -0.176 -21.698 -0.149 -21.604 -0.120 -21.528 -0.115 -21.488 -0.121 15.380 0.097 2.900 0.020 44.526 42.584
-16.600 -21.776 -0.179 -21.720 -0.153 -21.628 -0.123 -21.553 -0.118 -21.513 -0.123 15.279 0.097 2.954 0.021 44.530 42.589
-16.200 -21.797 -0.183 -21.742 -0.156 -21.652 -0.126 -21.577 -0.120 -21.538 -0.125 15.181 0.097 3.008 0.021 44.535 42.596
-15.800 -21.818 -0.186 -21.764 -0.159 -21.675 -0.129 -21.601 -0.123 -21.562 -0.127 15.087 0.098 3.061 0.022 44.539 42.603
-15.400 -21.838 -0.189 -21.785 -0.162 -21.697 -0.131 -21.624 -0.125 -21.585 -0.129 14.997 0.099 3.113 0.023 44.543 42.611
-15.000 -21.858 -0.191 -21.806 -0.164 -21.719 -0.134 -21.647 -0.127 -21.608 -0.131 14.912 0.100 3.165 0.024 44.548 42.620
-14.600 -21.877 -0.194 -21.825 -0.167 -21.740 -0.136 -21.668 -0.129 -21.630 -0.133 14.830 0.101 3.215 0.025 44.552 42.630
-14.200 -21.895 -0.196 -21.845 -0.169 -21.760 -0.138 -21.689 -0.130 -21.652 -0.134 14.751 0.103 3.265 0.026 44.556 42.641
-13.800 -21.913 -0.198 -21.863 -0.170 -21.780 -0.139 -21.710 -0.132 -21.673 -0.135 14.675 0.104 3.315 0.027 44.560 42.653
-13.400 -21.930 -0.200 -21.881 -0.172 -21.799 -0.140 -21.730 -0.133 -21.693 -0.136 14.601 0.106 3.363 0.028 44.564 42.664
-13.000 -21.947 -0.201 -21.899 -0.173 -21.817 -0.141 -21.749 -0.134 -21.713 -0.137 14.528 0.108 3.412 0.029 44.568 42.676
-12.600 -21.963 -0.202 -21.915 -0.174 -21.835 -0.142 -21.768 -0.134 -21.732 -0.137 14.458 0.110 3.459 0.030 44.571 42.689
-12.200 -21.978 -0.203 -21.932 -0.175 -21.852 -0.142 -21.786 -0.134 -21.750 -0.137 14.388 0.112 3.506 0.032 44.574 42.701
-11.800 -21.993 -0.204 -21.947 -0.175 -21.869 -0.142 -21.803 -0.133 -21.768 -0.137 14.320 0.114 3.552 0.033 44.578 42.713
-11.400 -22.008 -0.204 -21.962 -0.175 -21.885 -0.141 -21.820 -0.133 -21.785 -0.136 14.253 0.117 3.598 0.034 44.581 42.725
-11.000 -22.021 -0.204 -21.976 -0.174 -21.900 -0.140 -21.836 -0.131 -21.801 -0.135 14.188 0.119 3.643 0.035 44.583 42.737
-10.600 -22.034 -0.204 -21.990 -0.174 -21.915 -0.139 -21.851 -0.130 -21.817 -0.133 14.123 0.121 3.688 0.037 44.586 42.748
-10.200 -22.047 -0.203 -22.003 -0.173 -21.929 -0.137 -21.866 -0.127 -21.832 -0.131 14.059 0.124 3.732 0.038 44.588 42.759
-9.800 -22.059 -0.203 -22.016 -0.171 -21.942 -0.135 -21.880 -0.125 -21.847 -0.128 13.995 0.126 3.775 0.040 44.591 42.770
-9.400 -22.070 -0.202 -22.028 -0.170 -21.955 -0.132 -21.894 -0.122 -21.861 -0.125 13.933 0.128 3.818 0.041 44.593 42.781
-9.000 -22.081 -0.201 -22.039 -0.168 -21.967 -0.129 -21.907 -0.118 -21.874 -0.122 13.870 0.131 3.860 0.043 44.594 42.791
-8.600 -22.091 -0.200 -22.050 -0.166 -21.979 -0.126 -21.919 -0.114 -21.887 -0.118 13.809 0.133 3.901 0.044 44.596 42.801
-8.200 -22.100 -0.198 -22.060 -0.164 -21.990 -0.122 -21.931 -0.110 -21.899 -0.114 13.747 0.135 3.942 0.046 44.597 42.811
-7.800 -22.109 -0.197 -22.069 -0.162 -22.001 -0.118 -21.942 -0.106 -21.910 -0.110 13.686 0.137 3.982 0.047 44.598 42.820
-7.400 -22.117 -0.195 -22.078 -0.160 -22.010 -0.115 -21.952 -0.101 -21.921 -0.105 13.626 0.140 4.022 0.049 44.599 42.829
-7.000 -22.125 -0.194 -22.087 -0.157 -22.020 -0.111 -21.962 -0.096 -21.931 -0.101 13.565 0.142 4.061 0.050 44.600 42.838
-6.600 -22.132 -0.192 -22.094 -0.155 -22.028 -0.107 -21.972 -0.091 -21.941 -0.096 13.505 0.144 4.099 0.052 44.600 42.846
-6.200 -22.139 -0.191 -22.101 -0.153 -22.036 -0.103 -21.980 -0.086 -21.950 -0.091 13.444 0.146 4.137 0.053 44.600 42.853
-5.800 -22.145 -0.190 -22.108 -0.151 -22.044 -0.099 -21.989 -0.082 -21.959 -0.087 13.384 0.148 4.174 0.055 44.600 42.860
-5.400 -22.150 -0.188 -22.114 -0.149 -22.051 -0.096 -21.996 -0.077 -21.967 -0.083 13.323 0.150 4.210 0.056 44.600 42.866
-5.000 -22.155 -0.187 -22.119 -0.147 -22.057 -0.093 -22.003 -0.074 -21.974 -0.080 13.263 0.151 4.246 0.057 44.599 42.872
-4.600 -22.159 -0.186 -22.124 -0.146 -22.063 -0.091 -22.010 -0.070 -21.981 -0.077 13.203 0.153 4.280 0.059 44.599 42.876
-4.200 -22.162 -0.185 -22.128 -0.145 -22.068 -0.089 -22.015 -0.068 -21.987 -0.074 13.144 0.154 4.314 0.060 44.598 42.879
-3.800 -22.165 -0.184 -22.131 -0.144 -22.072 -0.087 -22.021 -0.066 -21.992 -0.072 13.086 0.155 4.346 0.061 44.596 42.881
-3.400 -22.167 -0.184 -22.134 -0.143 -22.076 -0.086 -22.025 -0.064 -21.997 -0.071 13.029 0.156 4.377 0.063 44.595 42.883
-3.000 -22.168 -0.183 -22.136 -0.143 -22.079 -0.085 -22.029 -0.063 -22.001 -0.070 12.974 0.157 4.407 0.064 44.593 42.884
-2.600 -22.169 -0.183 -22.137 -0.142 -22.081 -0.085 -22.032 -0.063 -22.004 -0.069 12.921 0.158 4.434 0.065 44.592 42.886
-2.200 -22.169 -0.183 -22.138 -0.142 -22.083 -0.085 -22.034 -0.062 -22.007 -0.068 12.870 0.159 4.459 0.066 44.590 42.887
-1.800 -22.168 -0.183 -22.137 -0.142 -22.083 -0.085 -22.035 -0.062 -22.008 -0.068 12.822 0.160 4.481 0.068 44.587 42.888
-1.400 -22.166 -0.183 -22.136 -0.143 -22.083 -0.086 -22.036 -0.063 -22.009 -0.069 12.777 0.162 4.501 0.069 44.585 42.889
-1.000 -22.164 -0.183 -22.134 -0.143 -22.082 -0.087 -22.035 -0.064 -22.009 -0.070 12.741 0.164 4.515 0.070 44.583 42.892
-0.600 -22.161 -0.183 -22.132 -0.144 -22.080 -0.088 -22.034 -0.066 -22.008 -0.071 12.709 0.166 4.525 0.072 44.581 42.894
-0.200 -22.157 -0.184 -22.129 -0.145 -22.077 -0.090 -22.032 -0.069 -22.006 -0.073 12.671 0.168 4.537 0.073 44.578 42.895
0.200 -22.153 -0.184 -22.124 -0.146 -22.074 -0.093 -22.029 -0.072 -22.003 -0.076 12.651 0.170 4.539 0.075 44.575 42.899
0.600 -22.148 -0.184 -22.119 -0.147 -22.069 -0.095 -22.025 -0.075 -22.000 -0.078 12.628 0.173 4.541 0.076 44.572 42.902
1.000 -22.142 -0.185 -22.114 -0.148 -22.064 -0.098 -22.020 -0.078 -21.995 -0.081 12.597 0.175 4.544 0.078 44.569 42.903
1.400 -22.135 -0.185 -22.108 -0.149 -22.058 -0.100 -22.015 -0.081 -21.990 -0.083 12.576 0.179 4.542 0.080 44.565 42.907
1.800 -22.128 -0.186 -22.101 -0.150 -22.052 -0.102 -22.009 -0.083 -21.985 -0.085 12.555 0.182 4.539 0.082 44.562 42.910
2.200 -22.121 -0.186 -22.093 -0.151 -22.045 -0.104 -22.002 -0.086 -21.978 -0.087 12.535 0.185 4.533 0.083 44.558 42.914
2.600 -22.113 -0.186 -22.085 -0.152 -22.037 -0.106 -21.995 -0.088 -21.971 -0.089 12.515 0.189 4.527 0.085 44.554 42.917
3.000 -22.104 -0.186 -22.077 -0.152 -22.029 -0.107 -21.987 -0.089 -21.964 -0.090 12.495 0.192 4.520 0.087 44.550 42.921
3.400 -22.095 -0.185 -22.068 -0.152 -22.020 -0.108 -21.979 -0.090 -21.956 -0.090 12.474 0.196 4.512 0.089 44.546 42.924
3.800 -22.086 -0.185 -22.059 -0.152 -22.011 -0.109 -21.970 -0.090 -21.948 -0.090 12.453 0.200 4.503 0.091 44.541 42.928
4.200 -22.076 -0.184 -22.049 -0.152 -22.002 -0.109 -21.961 -0.090 -21.939 -0.089 12.431 0.204 4.494 0.092 44.536 42.932
4.600 -22.066 -0.183 -22.039 -0.151 -21.992 -0.108 -21.952 -0.089 -21.930 -0.088 12.408 0.208 4.485 0.094 44.531 42.935
5.000 -22.055 -0.182 -22.029 -0.150 -21.982 -0.107 -21.942 -0.087 -21.921 -0.086 12.384 0.212 4.476 0.096 44.526 42.939
5.400 -22.045 -0.180 -22.018 -0.149 -21.972 -0.105 -21.932 -0.085 -21.912 -0.083 12.359 0.216 4.467 0.098 44.521 42.942
5.800 -22.034 -0.178 -22.007 -0.147 -21.961 -0.103 -21.923 -0.082 -21.902 -0.080 12.331 0.220 4.459 0.100 44.515 42.946
6.200 -22.023 -0.176 -21.996 -0.145 -21.951 -0.101 -21.912 -0.079 -21.892 -0.077 12.302 0.224 4.451 0.102 44.510 42.949
6.600 -22.012 -0.174 -21.985 -0.143 -21.940 -0.098 -21.902 -0.075 -21.882 -0.073 12.271 0.228 4.445 0.103 44.504 42.952
7.000 -22.000 -0.172 -21.974 -0.141 -21.929 -0.096 -21.892 -0.071 -21.873 -0.068 12.237 0.232 4.439 0.105 44.498 42.955
7.400 -21.989 -0.169 -21.963 -0.138 -21.919 -0.093 -21.882 -0.067 -21.863 -0.064 12.201 0.236 4.435 0.107 44.492 42.958
7.800 -21.978 -0.166 -21.952 -0.135 -21.908 -0.089 -21.872 -0.063 -21.853 -0.059 12.162 0.240 4.432 0.109 44.486 42.961
8.200 -21.966 -0.163 -21.941 -0.133 -21.898 -0.086 -21.862 -0.058 -21.843 -0.054 12.120 0.243 4.431 0.111 44.480 42.963
8.600 -21.955 -0.160 -21.930 -0.130 -21.888 -0.083 -21.852 -0.054 -21.834 -0.050 12.075 0.247 4.431 0.113 44.473 42.964
9.000 -21.944 -0.157 -21.920 -0.127 -21.877 -0.081 -21.843 -0.051 -21.825 -0.046 12.029 0.249 4.433 0.115 44.467 42.964
9.400 -21.932 -0.154 -21.909 -0.124 -21.867 -0.078 -21.833 -0.049 -21.816 -0.044 11.983 0.251 4.435 0.117 44.461 42.962
9.800 -21.921 -0.151 -21.898 -0.122 -21.858 -0.077 -21.824 -0.047 -21.807 -0.043 11.939 0.253 4.437 0.118 44.455 42.957
10.200 -21.910 -0.148 -21.888 -0.119 -21.848 -0.075 -21.816 -0.047 -21.799 -0.043 11.896 0.253 4.439 0.119 44.449 42.951
10.600 -21.898 -0.144 -21.877 -0.116 -21.839 -0.074 -21.807 -0.048 -21.791 -0.045 11.854 0.252 4.441 0.120 44.443 42.942
11.000 -21.887 -0.141 -21.866 -0.114 -21.830 -0.073 -21.799 -0.050 -21.783 -0.047 11.812 0.251 4.443 0.120 44.437 42.931
11.400 -21.876 -0.137 -21.856 -0.111 -21.820 -0.073 -21.791 -0.051 -21.775 -0.050 11.768 0.250 4.446 0.121 44.432 42.920
11.800 -21.864 -0.134 -21.845 -0.108 -21.811 -0.072 -21.782 -0.053 -21.768 -0.052 11.722 0.248 4.451 0.122 44.426 42.908
12.200 -21.853 -0.130 -21.835 -0.106 -21.802 -0.071 -21.774 -0.055 -21.760 -0.054 11.673 0.247 4.457 0.123 44.420 42.897
12.600 -21.841 -0.127 -21.824 -0.103 -21.793 -0.071 -21.766 -0.056 -21.752 -0.056 11.622 0.245 4.464 0.123 44.413 42.885
13.000 -21.829 -0.123 -21.813 -0.100 -21.783 -0.070 -21.758 -0.056 -21.744 -0.057 11.569 0.244 4.473 0.125 44.407 42.874
13.400 -21.816 -0.120 -21.802 -0.097 -21.773 -0.068 -21.749 -0.056 -21.736 -0.058 11.512 0.244 4.482 0.126 44.400 42.864
13.800 -21.804 -0.116 -21.790 -0.095 -21.763 -0.067 -21.740 -0.056 -21.728 -0.058 11.454 0.243 4.493 0.127 44.394 42.854
14.200 -21.791 -0.113 -21.778 -0.092 -21.753 -0.066 -21.731 -0.055 -21.719 -0.057 11.393 0.243 4.504 0.129 44.387 42.845
14.600 -21.777 -0.110 -21.766 -0.090 -21.742 -0.064 -21.722 -0.054 -21.711 -0.057 11.330 0.243 4.517 0.131 44.379 42.836
15.000 -21.763 -0.107 -21.753 -0.087 -21.731 -0.063 -21.712 -0.053 -21.701 -0.056 11.265 0.244 4.530 0.133 44.372 42.828
15.400 -21.749 -0.105 -21.740 -0.085 -21.720 -0.061 -21.702 -0.052 -21.692 -0.055 11.198 0.245 4.543 0.135 44.364 42.820
15.800 -21.734 -0.103 -21.726 -0.084 -21.708 -0.060 -21.691 -0.051 -21.682 -0.054 11.129 0.246 4.557 0.138 44.356 42.812
16.200 -21.718 -0.101 -21.711 -0.082 -21.695 -0.059 -21.680 -0.050 -21.671 -0.053 11.059 0.247 4.571 0.140 44.348 42.804
16.600 -21.702 -0.099 -21.696 -0.081 -21.682 -0.058 -21.668 -0.049 -21.660 -0.052 10.988 0.248 4.585 0.143 44.339 42.797
17.000 -21.686 -0.098 -21.681 -0.080 -21.668 -0.058 -21.656 -0.049 -21.649 -0.051 10.917 0.250 4.599 0.146 44.331 42.789
17.400 -21.668 -0.097 -21.665 -0.080 -21.654 -0.058 -21.643 -0.049 -21.637 -0.051 10.847 0.251 4.612 0.149 44.322 42.781
17.800 -21.651 -0.096 -21.648 -0.079 -21.640 -0.058 -21.631 -0.049 -21.625 -0.051 10.777 0.253 4.624 0.152 44.313 42.772
18.200 -21.633 -0.096 -21.631 -0.079 -21.625 -0.058 -21.617 -0.049 -21.613 -0.052 10.709 0.255 4.635 0.156 44.304 42.764
18.600 -21.614 -0.095 -21.614 -0.078 -21.609 -0.058 -21.604 -0.050 -21.600 -0.053 10.644 0.257 4.644 0.159 44.295 42.754
19.000 -21.595 -0.094 -21.596 -0.078 -21.594 -0.059 -21.590 -0.052 -21.587 -0.055 10.580 0.259 4.651 0.163 44.286 42.744
19.400 -21.576 -0.093 -21.578 -0.077 -21.578 -0.059 -21.575 -0.053 -21.574 -0.056 10.517 0.261 4.657 0.167 44.277 42.734
19.800 -21.557 -0.092 -21.560 -0.077 -21.561 -0.060 -21.561 -0.055 -21.560 -0.058 10.455 0.263 4.664 0.171 44.268 42.723
20.200 -21.537 -0.091 -21.541 -0.076 -21.545 -0.060 -21.546 -0.056 -21.547 -0.060 10.391 0.266 4.670 0.175 44.258 42.713
20.600 -21.517 -0.090 -21.522 -0.075 -21.528 -0.060 -21.531 -0.058 -21.533 -0.062 10.327 0.269 4.678 0.180 44.249 42.702
21.000 -21.496 -0.089 -21.503 -0.074 -21.511 -0.060 -21.516 -0.058 -21.519 -0.063 10.261 0.272 4.686 0.185 44.239 42.691
21.400 -21.476 -0.088 -21.484 -0.073 -21.494 -0.059 -21.501 -0.059 -21.505 -0.064 10.193 0.275 4.696 0.190 44.229 42.681
21.800 -21.455 -0.086 -21.464 -0.072 -21.477 -0.058 -21.486 -0.059 -21.491 -0.065 10.123 0.278 4.708 0.196 44.220 42.671
22.200 -21.434 -0.085 -21.445 -0.070 -21.460 -0.057 -21.471 -0.059 -21.477 -0.065 10.051 0.282 4.721 0.202 44.210 42.661
22.600 -21.413 -0.083 -21.425 -0.068 -21.442 -0.055 -21.456 -0.058 -21.463 -0.065 9.978 0.286 4.736 0.208 44.200 42.652
23.000 -21.392 -0.081 -21.405 -0.066 -21.425 -0.052 -21.441 -0.056 -21.449 -0.064 9.904 0.290 4.753 0.215 44.190 42.644
23.400 -21.371 -0.079 -21.386 -0.063 -21.408 -0.049 -21.426 -0.054 -21.436 -0.062 9.829 0.296 4.771 0.223 44.180 42.636
23.800 -21.350 -0.077 -21.366 -0.060 -21.391 -0.045 -21.412 -0.052 -21.422 -0.061 9.753 0.302 4.791 0.232 44.170 42.630
24.200 -21.330 -0.075 -21.347 -0.057 -21.375 -0.041 -21.397 -0.049 -21.409 -0.059 9.676 0.310 4.812 0.242 44.160 42.625
24.600 -21.309 -0.073 -21.328 -0.053 -21.358 -0.036 -21.383 -0.045 -21.396 -0.056 9.600 0.319 4.834 0.254 44.150 42.622
25.000 -21.289 -0.070 -21.310 -0.050 -21.342 -0.031 -21.369 -0.042 -21.383 -0.054 9.523 0.331 4.857 0.269 44.141 42.622
25.400 -21.269 -0.068 -21.292 -0.047 -21.327 -0.025 -21.356 -0.039 -21.371 -0.052 9.447 0.347 4.879 0.286 44.131 42.625
25.800 -21.250 -0.066 -21.274 -0.044 -21.311 -0.020 -21.343 -0.037 -21.359 -0.050 9.375 0.364 4.900 0.306 44.121 42.628
26.200 -21.231 -0.064 -21.256 -0.042 -21.297 -0.017 -21.331 -0.035 -21.348 -0.049 9.307 0.377 4.919 0.322 44.112 42.625
26.600 -21.212 -0.063 -21.239 -0.041 -21.283 -0.017 -21.318 -0.035 -21.336 -0.049 9.244 0.373 4.941 0.324 44.104 42.604
27.000 -21.193 -0.062 -21.223 -0.041 -21.269 -0.019 -21.307 -0.036 -21.325 -0.049 9.184 0.352 4.967 0.312 44.097 42.566
27.400 -21.174 -0.061 -21.207 -0.041 -21.256 -0.023 -21.295 -0.038 -21.315 -0.050 9.124 0.328 4.995 0.297 44.091 42.522
27.800 -21.156 -0.061 -21.190 -0.042 -21.243 -0.028 -21.284 -0.040 -21.304 -0.051 9.066 0.308 5.022 0.285 44.084 42.479
28.200 -21.137 -0.060 -21.174 -0.043 -21.230 -0.031 -21.272 -0.042 -21.293 -0.052 9.008 0.292 5.048 0.275 44.078 42.440
28.600 -21.118 -0.060 -21.158 -0.044 -21.217 -0.035 -21.261 -0.044 -21.282 -0.053 8.949 0.279 5.074 0.269 44.071 42.404
29.000 -21.099 -0.059 -21.141 -0.044 -21.203 -0.037 -21.249 -0.046 -21.271 -0.054 8.891 0.268 5.100 0.264 44.064 42.371
29.400 -21.080 -0.059 -21.124 -0.045 -21.189 -0.039 -21.237 -0.047 -21.259 -0.055 8.831 0.260 5.126 0.260 44.056 42.341
29.800 -21.060 -0.058 -21.106 -0.045 -21.175 -0.041 -21.224 -0.047 -21.247 -0.055 8.770 0.252 5.152 0.258 44.049 42.311
30.200 -21.039 -0.058 -21.088 -0.045 -21.160 -0.041 -21.210 -0.048 -21.234 -0.054 8.709 0.245 5.178 0.256 44.041 42.284
30.600 -21.017 -0.057 -21.068 -0.045 -21.143 -0.042 -21.196 -0.047 -21.220 -0.054 8.647 0.240 5.203 0.254 44.033 42.258
31.000 -20.994 -0.057 -21.048 -0.046 -21.126 -0.042 -21.180 -0.047 -21.205 -0.053 8.584 0.234 5.227 0.253 44.024 42.234
31.400 -20.970 -0.056 -21.026 -0.046 -21.107 -0.042 -21.163 -0.046 -21.189 -0.052 8.521 0.230 5.249 0.252 44.015 42.210
31.800 -20.944 -0.056 -21.003 -0.046 -21.087 -0.042 -21.145 -0.046 -21.172 -0.051 8.459 0.226 5.268 0.252 44.005 42.187
32.200 -20.917 -0.056 -20.978 -0.046 -21.066 -0.042 -21.126 -0.045 -21.153 -0.050 8.398 0.223 5.284 0.253 43.995 42.164
32.600 -20.889 -0.056 -20.952 -0.046 -21.043 -0.042 -21.105 -0.045 -21.133 -0.050 8.337 0.220 5.295 0.254 43.985 42.141
33.000 -20.859 -0.056 -20.924 -0.046 -21.018 -0.042 -21.082 -0.045 -21.111 -0.050 8.278 0.219 5.302 0.256 43.973 42.119
33.400 -20.827 -0.056 -20.894 -0.046 -20.992 -0.042 -21.058 -0.045 -21.088 -0.050 8.221 0.218 5.303 0.258 43.962 42.098
33.800 -20.794 -0.057 -20.863 -0.046 -20.963 -0.042 -21.031 -0.045 -21.062 -0.050 8.166 0.218 5.298 0.260 43.949 42.079
34.200 -20.759 -0.058 -20.829 -0.047 -20.932 -0.043 -21.003 -0.045 -21.034 -0.050 8.113 0.218 5.285 0.263 43.936 42.061
34.600 -20.722 -0.059 -20.793 -0.049 -20.899 -0.044 -20.972 -0.045 -21.004 -0.050 8.065 0.219 5.263 0.266 43.922 42.045
35.000 -20.683 -0.060 -20.756 -0.050 -20.864 -0.045 -20.939 -0.046 -20.972 -0.051 8.023 0.220 5.229 0.268 43.907 42.029
35.400 -20.643 -0.062 -20.716 -0.052 -20.826 -0.047 -20.903 -0.048 -20.937 -0.053 7.989 0.222 5.182 0.270 43.892 42.014
35.800 -20.601 -0.064 -20.675 -0.054 -20.787 -0.049 -20.865 -0.050 -20.900 -0.055 7.962 0.223 5.120 0.271 43.876 41.998
36.200 -20.558 -0.067 -20.632 -0.057 -20.745 -0.051 -20.824 -0.053 -20.860 -0.058 7.943 0.226 5.046 0.271 43.859 41.982
36.600 -20.513 -0.069 -20.588 -0.060 -20.701 -0.054 -20.782 -0.056 -20.818 -0.061 7.929 0.228 4.963 0.271 43.841 41.967
37.000 -20.467 -0.072 -20.542 -0.062 -20.656 -0.057 -20.737 -0.060 -20.775 -0.065 7.920 0.231 4.872 0.270 43.823 41.952
37.400 -20.420 -0.075 -20.495 -0.065 -20.609 -0.060 -20.691 -0.063 -20.730 -0.069 7.914 0.234 4.776 0.269 43.805 41.938
37.800 -20.373 -0.077 -20.447 -0.068 -20.561 -0.063 -20.644 -0.067 -20.683 -0.072 7.911 0.237 4.676 0.268 43.786 41.924
38.200 -20.324 -0.080 -20.398 -0.071 -20.513 -0.066 -20.596 -0.070 -20.636 -0.076 7.911 0.241 4.574 0.266 43.766 41.910
38.600 -20.276 -0.083 -20.349 -0.074 -20.463 -0.070 -20.547 -0.074 -20.587 -0.080 7.912 0.244 4.471 0.264 43.747 41.896
39.000 -20.227 -0.086 -20.300 -0.077 -20.413 -0.073 -20.498 -0.078 -20.539 -0.083 7.914 0.248 4.368 0.262 43.727 41.882
39.400 -20.178 -0.089 -20.250 -0.080 -20.363 -0.076 -20.448 -0.081 -20.489 -0.087 7.918 0.251 4.265 0.259 43.707 41.869
39.800 -20.129 -0.093 -20.200 -0.083 -20.313 -0.080 -20.398 -0.085 -20.440 -0.091 7.923 0.255 4.164 0.257 43.687 41.856
40.200 -20.081 -0.097 -20.151 -0.087 -20.263 -0.083 -20.349 -0.089 -20.391 -0.095 7.930 0.259 4.064 0.254 43.668 41.843
40.600 -20.033 -0.101 -20.102 -0.091 -20.214 -0.087 -20.299 -0.092 -20.342 -0.098 7.937 0.262 3.967 0.251 43.648 41.830
41.000 -19.985 -0.105 -20.054 -0.095 -20.164 -0.090 -20.250 -0.096 -20.293 -0.102 7.945 0.266 3.871 0.247 43.629 41.818
41.400 -19.938 -0.109 -20.006 -0.098 -20.116 -0.094 -20.201 -0.099 -20.244 -0.105 7.955 0.269 3.778 0.244 43.610 41.806
41.800 -19.892 -0.113 -19.959 -0.102 -20.067 -0.097 -20.153 -0.102 -20.196 -0.108 7.965 0.272 3.687 0.240 43.591 41.793
42.200 -19.846 -0.117 -19.912 -0.106 -20.020 -0.100 -20.105 -0.105 -20.148 -0.111 7.975 0.275 3.598 0.236 43.572 41.781
42.600 -19.801 -0.120 -19.866 -0.109 -19.973 -0.103 -20.058 -0.108 -20.101 -0.114 7.987 0.278 3.512 0.232 43.554 41.769
43.000 -19.756 -0.124 -19.820 -0.112 -19.926 -0.106 -20.011 -0.110 -20.054 -0.116 7.999 0.281 3.429 0.228 43.535 41.757
43.400 -19.712 -0.127 -19.776 -0.115 -19.881 -0.108 -19.965 -0.113 -20.008 -0.118 8.012 0.284 3.348 0.224 43.517 41.746
43.800 -19.669 -0.130 -19.732 -0.118 -19.836 -0.110 -19.920 -0.114 -19.963 -0.120 8.025 0.287 3.270 0.220 43.500 41.735
44.200 -19.627 -0.133 -19.689 -0.120 -19.791 -0.112 -19.875 -0.116 -19.919 -0.122 8.039 0.290 3.194 0.216 43.482 41.724
44.600 -19.586 -0.135 -19.647 -0.122 -19.748 -0.113 -19.832 -0.117 -19.875 -0.123 8.054 0.293 3.122 0.213 43.466 41.714
45.000 -19.546 -0.137 -19.606 -0.123 -19.706 -0.113 -19.789 -0.117 -19.832 -0.123 8.068 0.296 3.051 0.209 43.449 41.704
45.400 -19.507 -0.138 -19.565 -0.124 -19.665 -0.114 -19.747 -0.117 -19.790 -0.124 8.083 0.299 2.984 0.206 43.433 41.695
45.800 -19.469 -0.139 -19.526 -0.124 -19.624 -0.113 -19.706 -0.117 -19.750 -0.123 8.098 0.302 2.920 0.203 43.417 41.686
46.200 -19.432 -0.140 -19.488 -0.125 -19.585 -0.113 -19.667 -0.116 -19.710 -0.123 8.113 0.306 2.858 0.200 43.402 41.679
