"Time (MJD)" g-4671.78 g-4671.78_err i-7457.89 i-7457.89_err r-6141.12 r-6141.12_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
8.400 -20.441 -0.126 -20.858 -0.106 -20.795 -0.078 7.802 0.606 5.100 0.690 43.837 42.647
8.800 -20.425 -0.124 -20.848 -0.105 -20.790 -0.078 7.742 0.589 5.149 0.690 43.832 42.623
9.200 -20.408 -0.122 -20.837 -0.104 -20.784 -0.079 7.683 0.573 5.198 0.689 43.827 42.600
9.600 -20.391 -0.120 -20.826 -0.102 -20.779 -0.080 7.624 0.557 5.247 0.688 43.821 42.578
10.000 -20.373 -0.117 -20.814 -0.101 -20.773 -0.080 7.566 0.541 5.295 0.687 43.816 42.556
10.400 -20.355 -0.115 -20.803 -0.100 -20.767 -0.080 7.508 0.525 5.344 0.686 43.811 42.535
10.800 -20.337 -0.113 -20.791 -0.098 -20.761 -0.081 7.452 0.510 5.392 0.685 43.805 42.514
11.200 -20.318 -0.110 -20.779 -0.096 -20.754 -0.081 7.396 0.496 5.440 0.683 43.800 42.494
11.600 -20.299 -0.108 -20.766 -0.095 -20.748 -0.081 7.340 0.482 5.489 0.681 43.795 42.475
12.000 -20.280 -0.105 -20.754 -0.093 -20.741 -0.080 7.286 0.468 5.537 0.679 43.789 42.457
12.400 -20.260 -0.103 -20.741 -0.091 -20.734 -0.080 7.231 0.455 5.586 0.677 43.784 42.440
12.800 -20.240 -0.101 -20.728 -0.089 -20.726 -0.080 7.177 0.442 5.634 0.675 43.778 42.424
13.200 -20.220 -0.098 -20.714 -0.088 -20.719 -0.079 7.115 0.428 5.698 0.674 43.773 42.408
13.600 -20.199 -0.096 -20.701 -0.086 -20.711 -0.079 7.069 0.417 5.734 0.670 43.767 42.395
14.000 -20.178 -0.094 -20.687 -0.084 -20.703 -0.078 7.009 0.404 5.796 0.669 43.762 42.382
14.400 -20.156 -0.091 -20.672 -0.082 -20.695 -0.077 6.965 0.394 5.832 0.666 43.756 42.370
14.800 -20.134 -0.089 -20.658 -0.080 -20.686 -0.076 6.905 0.382 5.895 0.664 43.751 42.359
15.200 -20.112 -0.087 -20.643 -0.079 -20.677 -0.076 6.854 0.372 5.945 0.662 43.745 42.349
15.600 -20.089 -0.085 -20.628 -0.077 -20.668 -0.075 6.803 0.361 5.995 0.660 43.739 42.340
16.000 -20.065 -0.082 -20.613 -0.075 -20.659 -0.074 6.753 0.352 6.045 0.658 43.733 42.332
16.400 -20.042 -0.080 -20.598 -0.074 -20.650 -0.073 6.702 0.342 6.095 0.657 43.728 42.325
16.800 -20.017 -0.079 -20.582 -0.072 -20.640 -0.072 6.652 0.333 6.146 0.655 43.722 42.319
17.200 -19.993 -0.077 -20.566 -0.071 -20.630 -0.071 6.603 0.325 6.197 0.654 43.716 42.314
17.600 -19.968 -0.075 -20.550 -0.069 -20.620 -0.070 6.554 0.317 6.247 0.653 43.710 42.309
18.000 -19.942 -0.074 -20.533 -0.068 -20.609 -0.070 6.505 0.309 6.299 0.652 43.704 42.305
18.400 -19.916 -0.072 -20.516 -0.067 -20.599 -0.069 6.457 0.301 6.350 0.652 43.698 42.301
18.800 -19.890 -0.071 -20.499 -0.066 -20.588 -0.068 6.408 0.294 6.401 0.652 43.692 42.298
19.200 -19.863 -0.071 -20.482 -0.066 -20.576 -0.068 6.361 0.288 6.452 0.652 43.686 42.296
19.600 -19.836 -0.070 -20.465 -0.065 -20.565 -0.067 6.313 0.282 6.504 0.653 43.680 42.294
20.000 -19.808 -0.069 -20.447 -0.065 -20.553 -0.067 6.267 0.276 6.556 0.655 43.674 42.293
20.400 -19.780 -0.069 -20.429 -0.064 -20.541 -0.067 6.220 0.271 6.608 0.658 43.668 42.291
20.800 -19.752 -0.069 -20.411 -0.064 -20.529 -0.066 6.174 0.267 6.660 0.661 43.662 42.291
21.200 -19.723 -0.069 -20.393 -0.064 -20.517 -0.066 6.129 0.263 6.712 0.665 43.656 42.291
21.600 -19.694 -0.069 -20.375 -0.064 -20.504 -0.066 6.083 0.259 6.764 0.670 43.650 42.291
22.000 -19.664 -0.069 -20.356 -0.064 -20.492 -0.065 6.039 0.256 6.816 0.676 43.644 42.291
22.400 -19.635 -0.069 -20.338 -0.063 -20.479 -0.065 5.995 0.253 6.869 0.682 43.638 42.292
22.800 -19.605 -0.069 -20.319 -0.063 -20.466 -0.065 5.951 0.250 6.921 0.689 43.632 42.294
23.200 -19.575 -0.069 -20.300 -0.063 -20.452 -0.065 5.908 0.248 6.974 0.697 43.626 42.295
23.600 -19.544 -0.069 -20.281 -0.063 -20.439 -0.065 5.866 0.246 7.027 0.706 43.620 42.298
24.000 -19.514 -0.070 -20.263 -0.063 -20.426 -0.064 5.824 0.244 7.080 0.716 43.614 42.300
24.400 -19.483 -0.070 -20.243 -0.063 -20.412 -0.064 5.782 0.243 7.133 0.727 43.608 42.304
24.800 -19.452 -0.070 -20.224 -0.063 -20.398 -0.064 5.741 0.242 7.187 0.739 43.602 42.307
25.200 -19.421 -0.070 -20.205 -0.063 -20.384 -0.064 5.701 0.241 7.240 0.751 43.596 42.311
25.600 -19.390 -0.070 -20.186 -0.063 -20.370 -0.064 5.661 0.240 7.294 0.765 43.590 42.316
26.000 -19.359 -0.071 -20.167 -0.062 -20.356 -0.064 5.622 0.240 7.348 0.780 43.585 42.321
26.400 -19.328 -0.071 -20.148 -0.062 -20.341 -0.063 5.583 0.240 7.402 0.796 43.579 42.327
26.800 -19.297 -0.071 -20.129 -0.062 -20.327 -0.063 5.545 0.240 7.456 0.812 43.573 42.333
27.200 -19.265 -0.071 -20.109 -0.062 -20.312 -0.063 5.508 0.240 7.509 0.830 43.568 42.340
27.600 -19.234 -0.071 -20.090 -0.062 -20.298 -0.063 5.477 0.242 7.542 0.847 43.562 42.346
28.000 -19.203 -0.071 -20.071 -0.061 -20.283 -0.063 5.435 0.242 7.615 0.869 43.557 42.354
28.400 -19.172 -0.071 -20.052 -0.061 -20.268 -0.063 5.405 0.243 7.648 0.888 43.551 42.361
28.800 -19.141 -0.071 -20.033 -0.061 -20.253 -0.063 5.365 0.244 7.719 0.911 43.546 42.369
29.200 -19.110 -0.071 -20.013 -0.061 -20.238 -0.064 5.336 0.245 7.751 0.931 43.541 42.376
29.600 -19.079 -0.071 -19.994 -0.060 -20.223 -0.064 5.304 0.247 7.796 0.953 43.535 42.383
30.000 -19.048 -0.071 -19.975 -0.060 -20.207 -0.064 5.272 0.248 7.845 0.975 43.530 42.391
30.400 -19.017 -0.071 -19.955 -0.060 -20.192 -0.064 5.240 0.249 7.893 0.998 43.525 42.398
30.800 -18.986 -0.071 -19.936 -0.059 -20.176 -0.065 5.209 0.250 7.940 1.021 43.520 42.405
31.200 -18.956 -0.071 -19.916 -0.059 -20.161 -0.065 5.179 0.251 7.985 1.043 43.514 42.412
31.600 -18.925 -0.071 -19.897 -0.059 -20.145 -0.065 5.150 0.252 8.028 1.065 43.509 42.418
32.000 -18.895 -0.072 -19.877 -0.059 -20.129 -0.066 5.121 0.253 8.069 1.086 43.504 42.424
32.400 -18.865 -0.072 -19.857 -0.059 -20.112 -0.066 5.094 0.254 8.107 1.107 43.499 42.429
32.800 -18.835 -0.072 -19.837 -0.059 -20.096 -0.067 5.067 0.255 8.142 1.127 43.493 42.434
33.200 -18.805 -0.073 -19.817 -0.059 -20.080 -0.067 5.041 0.255 8.174 1.145 43.488 42.437
33.600 -18.775 -0.073 -19.797 -0.059 -20.063 -0.068 5.017 0.256 8.203 1.162 43.482 42.440
34.000 -18.745 -0.074 -19.776 -0.059 -20.046 -0.068 4.990 0.256 8.244 1.179 43.477 42.443
34.400 -18.716 -0.074 -19.756 -0.059 -20.029 -0.069 4.967 0.256 8.265 1.193 43.472 42.445
34.800 -18.687 -0.075 -19.735 -0.059 -20.012 -0.069 4.945 0.256 8.282 1.205 43.466 42.446
35.200 -18.657 -0.076 -19.714 -0.059 -19.994 -0.070 4.924 0.256 8.296 1.216 43.460 42.446
35.600 -18.628 -0.076 -19.693 -0.060 -19.977 -0.070 4.904 0.255 8.307 1.226 43.454 42.445
36.000 -18.599 -0.077 -19.671 -0.060 -19.959 -0.071 4.885 0.255 8.315 1.235 43.448 42.444
36.400 -18.570 -0.078 -19.650 -0.060 -19.941 -0.071 4.866 0.255 8.320 1.242 43.442 42.443
36.800 -18.541 -0.079 -19.628 -0.060 -19.923 -0.072 4.848 0.254 8.322 1.248 43.436 42.440
37.200 -18.512 -0.079 -19.606 -0.060 -19.905 -0.072 4.830 0.253 8.322 1.253 43.429 42.438
37.600 -18.483 -0.080 -19.584 -0.060 -19.887 -0.072 4.813 0.253 8.318 1.257 43.423 42.435
38.000 -18.455 -0.081 -19.562 -0.060 -19.868 -0.072 4.797 0.252 8.313 1.260 43.416 42.431
38.400 -18.426 -0.082 -19.540 -0.060 -19.849 -0.073 4.781 0.251 8.305 1.262 43.410 42.427
38.800 -18.397 -0.082 -19.517 -0.060 -19.830 -0.073 4.766 0.250 8.295 1.262 43.403 42.423
39.200 -18.368 -0.083 -19.494 -0.060 -19.811 -0.073 4.751 0.249 8.282 1.262 43.396 42.418
39.600 -18.339 -0.083 -19.471 -0.060 -19.792 -0.073 4.736 0.248 8.268 1.261 43.389 42.413
40.000 -18.310 -0.084 -19.448 -0.060 -19.773 -0.073 4.722 0.247 8.251 1.258 43.382 42.407
40.400 -18.282 -0.085 -19.425 -0.060 -19.753 -0.073 4.708 0.246 8.233 1.254 43.375 42.401
40.800 -18.253 -0.085 -19.402 -0.060 -19.733 -0.073 4.694 0.244 8.213 1.249 43.368 42.394
41.200 -18.224 -0.086 -19.378 -0.060 -19.713 -0.073 4.681 0.242 8.192 1.243 43.361 42.387
41.600 -18.195 -0.086 -19.354 -0.060 -19.693 -0.072 4.668 0.241 8.169 1.236 43.354 42.379
42.000 -18.166 -0.086 -19.330 -0.060 -19.673 -0.072 4.655 0.238 8.144 1.227 43.346 42.371
42.400 -18.137 -0.087 -19.306 -0.060 -19.653 -0.072 4.642 0.236 8.119 1.216 43.339 42.363
42.800 -18.107 -0.087 -19.281 -0.060 -19.632 -0.072 4.630 0.233 8.092 1.204 43.331 42.354
43.200 -18.078 -0.088 -19.256 -0.060 -19.612 -0.072 4.618 0.230 8.064 1.190 43.324 42.344
43.600 -18.049 -0.088 -19.231 -0.060 -19.591 -0.072 4.605 0.227 8.036 1.175 43.316 42.334
44.000 -18.019 -0.089 -19.206 -0.060 -19.570 -0.072 4.593 0.224 8.006 1.159 43.308 42.323
44.400 -17.990 -0.089 -19.181 -0.060 -19.549 -0.072 4.581 0.220 7.976 1.142 43.300 42.312
44.800 -17.960 -0.089 -19.156 -0.061 -19.528 -0.072 4.569 0.217 7.945 1.123 43.292 42.300
45.200 -17.930 -0.089 -19.130 -0.061 -19.506 -0.072 4.557 0.213 7.913 1.105 43.284 42.288
45.600 -17.901 -0.090 -19.104 -0.061 -19.485 -0.072 4.546 0.209 7.880 1.085 43.276 42.276
46.000 -17.871 -0.090 -19.079 -0.062 -19.463 -0.072 4.534 0.205 7.846 1.066 43.268 42.264
46.400 -17.841 -0.090 -19.053 -0.062 -19.441 -0.072 4.523 0.201 7.812 1.047 43.260 42.251
46.800 -17.811 -0.090 -19.027 -0.062 -19.419 -0.072 4.512 0.198 7.777 1.027 43.252 42.238
47.200 -17.782 -0.090 -19.000 -0.062 -19.397 -0.072 4.501 0.194 7.741 1.008 43.244 42.226
47.600 -17.752 -0.089 -18.974 -0.062 -19.375 -0.071 4.490 0.190 7.704 0.990 43.235 42.213
48.000 -17.722 -0.089 -18.948 -0.062 -19.352 -0.071 4.480 0.187 7.666 0.971 43.227 42.201
48.400 -17.692 -0.089 -18.922 -0.062 -19.330 -0.071 4.469 0.184 7.628 0.954 43.219 42.188
48.800 -17.663 -0.088 -18.895 -0.062 -19.307 -0.071 4.459 0.180 7.588 0.937 43.210 42.176
49.200 -17.633 -0.088 -18.869 -0.062 -19.284 -0.070 4.450 0.177 7.548 0.921 43.202 42.164
49.600 -17.603 -0.087 -18.843 -0.062 -19.261 -0.070 4.440 0.175 7.507 0.906 43.193 42.152
50.000 -17.573 -0.086 -18.816 -0.061 -19.238 -0.070 4.431 0.172 7.465 0.891 43.185 42.141
50.400 -17.544 -0.085 -18.790 -0.061 -19.214 -0.069 4.421 0.169 7.423 0.878 43.176 42.130
50.800 -17.514 -0.084 -18.763 -0.060 -19.191 -0.069 4.412 0.167 7.380 0.865 43.168 42.120
51.200 -17.485 -0.083 -18.737 -0.060 -19.167 -0.068 4.404 0.165 7.336 0.853 43.159 42.109
51.600 -17.456 -0.082 -18.711 -0.059 -19.144 -0.067 4.395 0.163 7.292 0.843 43.150 42.100
52.000 -17.426 -0.080 -18.684 -0.058 -19.120 -0.067 4.387 0.162 7.247 0.833 43.142 42.090
52.400 -17.397 -0.079 -18.658 -0.057 -19.096 -0.066 4.379 0.160 7.203 0.823 43.133 42.081
52.800 -17.368 -0.077 -18.632 -0.055 -19.073 -0.065 4.371 0.159 7.158 0.815 43.125 42.072
53.200 -17.339 -0.076 -18.606 -0.054 -19.049 -0.064 4.363 0.158 7.113 0.808 43.116 42.064
53.600 -17.311 -0.074 -18.580 -0.052 -19.025 -0.063 4.355 0.157 7.069 0.801 43.108 42.056
54.000 -17.282 -0.072 -18.554 -0.051 -19.002 -0.062 4.348 0.156 7.025 0.795 43.099 42.048
54.400 -17.254 -0.071 -18.528 -0.049 -18.978 -0.062 4.341 0.155 6.981 0.790 43.091 42.041
54.800 -17.226 -0.069 -18.502 -0.047 -18.954 -0.061 4.333 0.155 6.938 0.787 43.083 42.034
55.200 -17.197 -0.067 -18.476 -0.045 -18.931 -0.060 4.326 0.155 6.896 0.784 43.074 42.028
55.600 -17.170 -0.065 -18.450 -0.043 -18.907 -0.059 4.319 0.155 6.854 0.781 43.066 42.022
56.000 -17.142 -0.064 -18.425 -0.041 -18.884 -0.058 4.312 0.155 6.814 0.780 43.058 42.016
56.400 -17.115 -0.062 -18.399 -0.039 -18.861 -0.057 4.305 0.155 6.775 0.779 43.050 42.010
56.800 -17.087 -0.061 -18.374 -0.036 -18.838 -0.056 4.298 0.155 6.737 0.778 43.043 42.004
57.200 -17.061 -0.059 -18.349 -0.034 -18.815 -0.056 4.291 0.155 6.699 0.776 43.035 41.998
57.600 -17.034 -0.058 -18.324 -0.033 -18.792 -0.055 4.284 0.155 6.662 0.774 43.027 41.990
58.000 -17.008 -0.058 -18.299 -0.031 -18.770 -0.055 4.277 0.155 6.623 0.768 43.020 41.982
58.400 -16.981 -0.058 -18.274 -0.030 -18.747 -0.055 4.271 0.154 6.583 0.759 43.012 41.971
58.800 -16.956 -0.058 -18.249 -0.029 -18.725 -0.056 4.266 0.152 6.539 0.746 43.004 41.959
59.200 -16.930 -0.058 -18.224 -0.029 -18.703 -0.057 4.261 0.149 6.492 0.728 42.995 41.943
59.600 -16.905 -0.059 -18.200 -0.030 -18.682 -0.058 4.256 0.144 6.440 0.704 42.987 41.925
60.000 -16.880 -0.061 -18.175 -0.032 -18.660 -0.060 4.253 0.140 6.385 0.677 42.978 41.905
60.400 -16.855 -0.062 -18.151 -0.034 -18.639 -0.062 4.249 0.134 6.327 0.647 42.969 41.882
60.800 -16.831 -0.065 -18.127 -0.037 -18.618 -0.064 4.246 0.129 6.270 0.616 42.959 41.858
61.200 -16.807 -0.067 -18.103 -0.040 -18.597 -0.066 4.244 0.123 6.212 0.585 42.950 41.833
61.600 -16.783 -0.070 -18.080 -0.044 -18.577 -0.069 4.241 0.117 6.156 0.554 42.941 41.806
62.000 -16.760 -0.073 -18.056 -0.048 -18.557 -0.072 4.238 0.111 6.100 0.523 42.932 41.779
62.400 -16.737 -0.077 -18.033 -0.052 -18.537 -0.075 4.236 0.106 6.047 0.494 42.924 41.751
62.800 -16.714 -0.080 -18.010 -0.056 -18.517 -0.079 4.233 0.100 5.995 0.466 42.915 41.722
63.200 -16.692 -0.084 -17.987 -0.060 -18.497 -0.082 4.231 0.095 5.945 0.439 42.907 41.693
63.600 -16.669 -0.088 -17.964 -0.064 -18.478 -0.086 4.228 0.090 5.896 0.413 42.899 41.663
64.000 -16.647 -0.092 -17.942 -0.068 -18.459 -0.090 4.225 0.085 5.849 0.388 42.890 41.633
64.400 -16.626 -0.096 -17.920 -0.073 -18.440 -0.093 4.223 0.080 5.803 0.364 42.882 41.601
64.800 -16.604 -0.100 -17.898 -0.077 -18.422 -0.097 4.220 0.076 5.758 0.341 42.875 41.569
65.200 -16.583 -0.104 -17.876 -0.081 -18.403 -0.101 4.217 0.071 5.715 0.318 42.867 41.536
65.600 -16.562 -0.108 -17.854 -0.086 -18.385 -0.105 4.215 0.067 5.672 0.297 42.859 41.501
66.000 -16.542 -0.113 -17.833 -0.090 -18.367 -0.109 4.212 0.062 5.631 0.276 42.852 41.466
66.400 -16.521 -0.117 -17.812 -0.094 -18.350 -0.113 4.210 0.058 5.590 0.255 42.845 41.429
66.800 -16.501 -0.121 -17.791 -0.099 -18.332 -0.117 4.207 0.054 5.550 0.235 42.837 41.390
67.200 -16.482 -0.125 -17.770 -0.103 -18.315 -0.120 4.205 0.050 5.512 0.216 42.830 41.349
67.600 -16.462 -0.130 -17.750 -0.107 -18.298 -0.124 4.202 0.046 5.474 0.197 42.823 41.307
68.000 -16.443 -0.134 -17.730 -0.111 -18.281 -0.128 4.200 0.042 5.437 0.179 42.816 41.261
68.400 -16.424 -0.138 -17.710 -0.115 -18.264 -0.132 4.197 0.038 5.400 0.162 42.810 41.213
68.800 -16.405 -0.142 -17.690 -0.120 -18.248 -0.136 4.195 0.034 5.365 0.145 42.803 41.161
69.200 -16.386 -0.146 -17.671 -0.124 -18.232 -0.140 4.192 0.030 5.330 0.128 42.796 41.104
69.600 -16.368 -0.151 -17.652 -0.128 -18.216 -0.143 4.190 0.027 5.296 0.112 42.790 41.043
70.000 -16.350 -0.155 -17.633 -0.132 -18.200 -0.147 4.188 0.023 5.262 0.096 42.783 40.974
70.400 -16.332 -0.159 -17.614 -0.135 -18.184 -0.151 4.185 0.020 5.230 0.081 42.777 40.897
70.800 -16.314 -0.163 -17.596 -0.139 -18.169 -0.154 4.183 0.016 5.198 0.067 42.770 40.808
71.200 -16.297 -0.167 -17.578 -0.143 -18.154 -0.158 4.181 0.013 5.166 0.053 42.764 40.701
71.600 -16.280 -0.170 -17.560 -0.147 -18.139 -0.161 4.179 0.009 5.135 0.039 42.758 40.567
72.000 -16.263 -0.174 -17.542 -0.150 -18.124 -0.165 4.177 0.006 5.105 0.026 42.752 40.385
72.400 -16.246 -0.178 -17.525 -0.154 -18.110 -0.168 4.174 0.003 5.076 0.013 42.746 40.086
72.800 -16.230 -0.182 -17.508 -0.157 -18.095 -0.171 4.172 0.000 5.047 0.001 42.740 38.881
73.200 -16.214 -0.185 -17.491 -0.161 -18.081 -0.174 4.170 0.003 5.018 0.011 42.735 40.004
73.600 -16.198 -0.189 -17.474 -0.164 -18.067 -0.177 4.168 0.006 4.991 0.022 42.729 40.309
74.000 -16.182 -0.192 -17.458 -0.167 -18.053 -0.180 4.166 0.008 4.963 0.033 42.723 40.479
74.400 -16.166 -0.196 -17.442 -0.170 -18.039 -0.183 4.164 0.011 4.937 0.044 42.718 40.595
74.800 -16.151 -0.199 -17.426 -0.173 -18.026 -0.186 4.162 0.014 4.911 0.054 42.712 40.681
75.200 -16.136 -0.202 -17.410 -0.176 -18.013 -0.189 4.160 0.016 4.885 0.063 42.707 40.750
75.600 -16.121 -0.206 -17.395 -0.179 -17.999 -0.192 4.158 0.018 4.860 0.072 42.702 40.805
76.000 -16.106 -0.209 -17.380 -0.182 -17.986 -0.194 4.156 0.021 4.836 0.081 42.697 40.852
76.400 -16.091 -0.212 -17.365 -0.184 -17.974 -0.197 4.154 0.023 4.812 0.089 42.691 40.891
76.800 -16.077 -0.215 -17.350 -0.187 -17.961 -0.199 4.152 0.025 4.788 0.097 42.686 40.925
77.200 -16.063 -0.218 -17.336 -0.190 -17.949 -0.201 4.150 0.027 4.765 0.105 42.681 40.955
77.600 -16.049 -0.220 -17.321 -0.192 -17.936 -0.204 4.148 0.029 4.743 0.112 42.676 40.980
78.000 -16.035 -0.223 -17.308 -0.194 -17.924 -0.206 4.147 0.031 4.721 0.118 42.672 41.003
78.400 -16.021 -0.226 -17.294 -0.196 -17.912 -0.208 4.145 0.033 4.699 0.125 42.667 41.023
78.800 -16.008 -0.228 -17.280 -0.198 -17.901 -0.210 4.143 0.034 4.678 0.131 42.662 41.040
79.200 -15.995 -0.231 -17.267 -0.200 -17.889 -0.211 4.141 0.036 4.658 0.136 42.658 41.056
79.600 -15.982 -0.233 -17.254 -0.202 -17.877 -0.213 4.139 0.038 4.638 0.141 42.653 41.070
80.000 -15.969 -0.235 -17.241 -0.204 -17.866 -0.215 4.138 0.039 4.618 0.146 42.649 41.082
80.400 -15.956 -0.237 -17.228 -0.206 -17.855 -0.216 4.136 0.040 4.598 0.151 42.644 41.092
80.800 -15.944 -0.239 -17.216 -0.207 -17.844 -0.218 4.134 0.042 4.579 0.155 42.640 41.102
81.200 -15.931 -0.241 -17.204 -0.209 -17.833 -0.219 4.132 0.043 4.561 0.159 42.636 41.110
81.600 -15.919 -0.243 -17.192 -0.210 -17.822 -0.220 4.131 0.044 4.543 0.162 42.632 41.117
82.000 -15.907 -0.245 -17.180 -0.211 -17.812 -0.221 4.129 0.045 4.525 0.165 42.627 41.123
82.400 -15.895 -0.247 -17.168 -0.212 -17.801 -0.222 4.127 0.046 4.507 0.168 42.623 41.128
82.800 -15.883 -0.248 -17.157 -0.213 -17.791 -0.223 4.126 0.047 4.490 0.171 42.619 41.132
83.200 -15.872 -0.250 -17.146 -0.214 -17.781 -0.223 4.124 0.048 4.474 0.173 42.615 41.136
83.600 -15.860 -0.251 -17.135 -0.215 -17.770 -0.224 4.122 0.048 4.457 0.175 42.612 41.138
84.000 -15.849 -0.253 -17.124 -0.216 -17.761 -0.225 4.121 0.049 4.441 0.177 42.608 41.140
84.400 -15.838 -0.254 -17.113 -0.216 -17.751 -0.225 4.119 0.050 4.425 0.178 42.604 41.142
84.800 -15.827 -0.255 -17.103 -0.216 -17.741 -0.225 4.118 0.050 4.410 0.180 42.600 41.142
85.200 -15.816 -0.256 -17.092 -0.217 -17.731 -0.225 4.116 0.050 4.395 0.181 42.597 41.143
85.600 -15.805 -0.257 -17.082 -0.217 -17.722 -0.225 4.114 0.051 4.380 0.181 42.593 41.142
86.000 -15.795 -0.258 -17.072 -0.217 -17.713 -0.225 4.113 0.051 4.365 0.182 42.589 41.141
86.400 -15.784 -0.259 -17.063 -0.217 -17.703 -0.225 4.111 0.051 4.351 0.182 42.586 41.139
86.800 -15.774 -0.259 -17.053 -0.217 -17.694 -0.225 4.110 0.052 4.336 0.182 42.582 41.137
87.200 -15.764 -0.260 -17.043 -0.216 -17.685 -0.224 4.108 0.052 4.322 0.182 42.579 41.135
87.600 -15.754 -0.260 -17.034 -0.216 -17.676 -0.224 4.107 0.052 4.309 0.182 42.576 41.132
88.000 -15.744 -0.261 -17.025 -0.216 -17.667 -0.223 4.106 0.052 4.295 0.181 42.572 41.129
88.400 -15.734 -0.261 -17.016 -0.215 -17.659 -0.222 4.104 0.052 4.282 0.181 42.569 41.125
88.800 -15.724 -0.261 -17.007 -0.214 -17.650 -0.221 4.103 0.052 4.269 0.180 42.566 41.120
89.200 -15.715 -0.262 -16.998 -0.213 -17.641 -0.221 4.101 0.052 4.256 0.179 42.563 41.116
89.600 -15.705 -0.262 -16.989 -0.212 -17.633 -0.219 4.100 0.051 4.243 0.178 42.559 41.111
90.000 -15.696 -0.262 -16.981 -0.211 -17.624 -0.218 4.099 0.051 4.231 0.176 42.556 41.106
90.400 -15.687 -0.262 -16.972 -0.210 -17.616 -0.217 4.098 0.051 4.218 0.175 42.553 41.100
90.800 -15.678 -0.262 -16.964 -0.209 -17.608 -0.215 4.096 0.051 4.206 0.173 42.550 41.094
91.200 -15.669 -0.261 -16.956 -0.207 -17.600 -0.214 4.095 0.050 4.194 0.172 42.547 41.088
91.600 -15.660 -0.261 -16.948 -0.206 -17.592 -0.212 4.094 0.050 4.182 0.170 42.544 41.081
92.000 -15.651 -0.261 -16.940 -0.204 -17.584 -0.211 4.093 0.050 4.170 0.168 42.541 41.074
92.400 -15.642 -0.260 -16.932 -0.202 -17.576 -0.209 4.092 0.049 4.158 0.167 42.538 41.067
