       MJD      Mag    Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 56479.297  21.6256  21.65    0.22        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56479.299  22.1475  22.18    0.25        P60          --       r  False      AB   False  2014ApJ...797...24V 
 56480.232  21.6456  21.67    0.19        P60          --       i  False      AB   False  2014ApJ...797...24V 
 56480.235  21.7775  21.81    0.14        P60          --       r  False      AB   False  2014ApJ...797...24V 
 56486.725  22.1812  22.21     0.3        P48          --       R  False      AB   False  2014ApJ...797...24V 
   56488.8  22.2312  22.26    -1.0        P48          --       R   True      AB    True  2014ApJ...797...24V 
 56490.904  20.9412  20.97    -1.0        P48          --       R   True      AB    True  2014ApJ...797...24V 
 56544.314  26.8446  26.89    0.25       Keck        LRIS       g  False      AB   False  2014ApJ...797...24V 
 56544.314  23.8015  23.83    0.08       Keck        LRIS      Rs  False      AB   False  2014ApJ...797...24V 
   56702.0  25.0875  25.12    -1.0        DCT         LMI       r   True      AB   False  2014ApJ...797...24V 
 56776.586  24.8115  24.84    0.09       Keck        LRIS      Rs  False      AB   False  2014ApJ...797...24V 
 56776.586  26.4446  26.49    0.14       Keck        LRIS       g  False      AB   False  2014ApJ...797...24V 
 56815.559  23.0959   23.1    -1.0       Keck     MOSFIRE      Ks   True      AB   False  2014ApJ...797...24V 
 56816.533  23.4897   23.5    -1.0       Keck     MOSFIRE       J   True      AB   False  2014ApJ...797...24V 
 56869.397  25.9815  26.01    0.22       Keck        LRIS      Rs  False      AB   False  2014ApJ...797...24V 
 56869.397  26.8546   26.9    -1.0       Keck        LRIS       g   True      AB   False  2014ApJ...797...24V 
