       Name        RA_deg        DEC_deg  Redshift         Method     EBV  Explosion      Peak  Quality  Survey
    2019gfm  233.94413927    24.06247988   0.18167  Host_spectrum  0.0465   58624.68  58649.33     Gold     ZTF
    2019gqi     215.30006    28.90163429    0.3642     Host_lines  0.0129   58589.59  58630.64     Gold     ZTF
    2019hge    336.088375      24.788089    0.0866     Host_lines   0.058   58623.37  58686.46   Silver     ZTF
    2019hno   294.8040123       62.72802      0.26    SN_features  0.0583   58624.85  58662.03     Gold     ZTF
    2019ieh    250.545167       6.984019     0.032     Host_lines  0.0862   58657.09  58670.38   Silver     ZTF
    2019itq  328.61983246    -8.34727207     0.481     Host_lines  0.0386    58631.3  58678.46     Gold     ZTF
      2019J  150.94487805      6.7734568    0.1346     Host_lines  0.0229   58481.56  58536.43   Silver     ZTF
    2019kcy  212.08242288      8.9669485     0.399     Host_lines  0.0227   58628.13  58693.28     Gold     ZTF
    2019kwq    256.995167      58.701083      0.49     Host_lines  0.0257   58499.83  58555.37     Gold     ZTF
    2019kws    213.768583      50.651889    0.1977     Host_lines  0.0142   58532.07   58575.4     Gold     ZTF
    2019kwt    294.844125      78.762111    0.3562     Host_lines  0.0775   58548.46  58634.96     Gold     ZTF
    2019kwu    209.415708      64.355167       0.6    SN_features  0.0138   58582.38  58622.37     Gold     ZTF
    2019lsq      1.169167      42.869819    0.1295     Host_lines  0.0829   58666.97  58709.04     Gold     ZTF
    2019neq  268.61140159    47.26128442    0.1059     Host_lines  0.0334   58701.21  58734.37     Gold     ZTF
    2019nhs   13.00605469     7.61661248     0.189     Host_lines  0.0514   58692.53  58732.37     Gold     ZTF
    2019obk  338.47535938   -2.161737054    0.1656     Host_lines   0.048   58687.04  58733.32   Silver     ZTF
    2019otl   43.09012025   -17.80347344     0.514    SN_features  0.0241    58629.7  58715.54     Gold     ZTF
    2019pud    318.229208       -16.6353    0.1136     Host_lines  0.0619   58725.26  58752.88     Gold     ZTF
    2019pvs  319.61161575   -20.73338005     0.167     Host_lines  0.0392   58679.89  58743.25   Silver     ZTF
    2019qgk  337.48979167    -4.10061111    0.3468     Host_lines   0.054   58708.44  58751.68     Gold     ZTF
    2019sgg     15.299042        14.0265    0.5726        Unknown  0.0373   58702.86  58775.25     Gold     ZTF
    2019sgh      18.16425      36.473556     0.344     Host_lines  0.0599    58734.4  58762.29     Gold     ZTF
    2019szu       2.55475      -19.69235     0.212     Host_lines   0.018   58721.75  58865.11     Gold     ZTF
    2019ujb    135.813208      40.242361    0.2008     Host_lines  0.0165   58770.98  58816.59     Gold     ZTF
    2019unb    146.987542        0.82665    0.0635     Host_lines  0.1045    58764.5  58826.57   Silver     ZTF
    2019une  154.29519727     41.6006524    0.1666  Host_spectrum  0.0148   58765.99  58814.25   Bronze     ZTF
    2019vvc  138.37554167    44.77394444    0.3314     Host_lines  0.0115   58790.93  58846.52     Gold     ZTF
    2019xaq    208.695083        84.0671       0.2     Host_lines  0.1004   58812.83  58840.48     Gold     ZTF
    2019xdy    126.213875    22.17944444    0.2206     Host_lines  0.0425   58776.41  58834.42     Gold     ZTF
    2019zbv  153.75468334    43.41490978    0.3785     Host_lines  0.0119   58813.72  58872.48     Gold     ZTF
    2019zeu   153.4892911     8.28017316      0.39    SN_features  0.0304    58816.9  58854.43     Gold     ZTF
   2020abjc   142.0011398   14.121283962     0.219     Host_lines  0.0275   59112.71  59243.31     Gold     ZTF
   2020abjx     33.759583      -8.628806      0.39        Unknown  0.0215   59080.75  59213.12   Silver     ZTF
   2020adkm  51.253352392   11.939503225     0.226     Host_lines  0.4731   59154.83  59245.28     Gold     ZTF
   2020aewh    111.617375      12.451444     0.345        Unknown  0.0588   59167.64  59250.33   Bronze     ZTF
   2020afag    3.94270833    47.00236111    0.3815     Host_lines  0.0898   58999.05  59055.44     Gold     ZTF
   2020afah  155.07633333    53.32261111    0.3754     Host_lines  0.0086   58947.57  59030.74     Gold     ZTF
    2020ank  124.06104305     4.32413658    0.2485     Host_lines  0.0193   58862.25  58896.25     Gold     ZTF
    2020aup  197.43516667    12.48705556      0.31    SN_features  0.0208   58857.36   58884.5     Gold     ZTF
    2020auv   248.5522173   37.097716475      0.28     Host_lines   0.011   58846.98  58876.53     Gold     ZTF
    2020dlb     122.14225    34.73691667     0.398     Host_lines  0.0327    58884.0  58948.07     Gold     ZTF
    2020exj  220.66671863   30.244220859    0.1216     Host_lines  0.0096   58925.03  58948.46     Gold     ZTF
    2020fvm    213.191375    34.73783333    0.2428     Host_lines  0.0129   58839.16  58968.37     Gold     ZTF
    2020fyq      221.5435    23.80055556    0.1765     Host_lines  0.0325   58860.85  58943.47   Silver     ZTF
    2020htd       266.072    38.92511111    0.3515     Host_lines   0.026   58892.47  58983.36     Gold     ZTF
    2020iyj  138.90266667    53.45888889     0.369     Host_lines  0.0155   58933.55  58994.24     Gold     ZTF
    2020jii  233.73037747    2.853240169     0.396    SN_features  0.0427   58944.55  58994.44     Gold     ZTF
    2020kox  166.52070833    26.29130556     0.456     Host_lines  0.0166   58938.07  59007.27     Gold     ZTF
    2020myh  354.37728605     21.7118927     0.283     Host_lines  0.0335   58976.53  59012.56   Silver     ZTF
    2020onb      215.7525      49.177969     0.153    SN_features  0.0208   59025.39  59079.18   Silver     ZTF
    2020qef   344.0438748   28.764786051    0.1831     Host_lines  0.0459   59017.86  59076.36     Gold     ZTF
    2020qlb    286.956567      62.963764    0.1585     Host_lines  0.0507   59050.83   59137.2     Gold     ZTF
    2020rmv  10.000779248  -14.590316187    0.2621     Host_lines  0.0185   59045.02  59118.32     Gold     ZTF
