 Filter     Telescope  Instrument  System   Cenwave  Zeropoint
      i         GROND          --      AB   7604.39    3631.00
      i         LCOGT          --      AB   Generic    3631.00
      I         Lulin          --    Vega   Generic    Generic
      I         Swope         CCD    Vega   Generic    Generic
      i        Blanco       DECam      AB   7774.30    3631.00
      I        duPont       WFCCD    Vega   Generic    Generic
      i        Helmos      LN2CCD      AB   Generic    3631.00
      i        Subaru          --    Vega   7682.36    2505.44
      i        Subaru         HSC      AB   Generic    3631.00
      i       ESO2.2m         MPI      AB   Generic    3631.00
      i       ESO2.2m       GROND      AB   7604.39    3631.00
      i       Lijiang          --      AB   Generic    3631.00
      i       Schmidt          --      AB   Generic    3631.00
      I      CTIO0.9m         CCD    Vega   Generic    Generic
      I      DOT-3.6m          --    Vega   Generic    Generic
      I      HCT-2.0m          --    Vega   Generic    Generic
      i      Magellan       IMACS      AB   7654.38    3631.00
      i      Magellan      LDSS3c      AB   Generic    3631.00
      I      ST-1.04m          --    Vega   Generic    Generic
      i      Tsinghua          --      AB   Generic    3631.00
      i     Copernico          --      AB   Generic    3631.00
      i     Copernico       AFOSC      AB   Generic    3631.00
      I     Copernico       AFOSC    Vega   Generic    Generic
      i     SkyMapper          --      AB   7732.83    3631.00
      I  Sampurnanand          --    Vega   Generic    Generic
      I  Sampurnanand      Camera    Vega   Generic    Generic
      J           NOT          --      AB   Generic    3631.00
      J           NOT          --    Vega   Generic    Generic
      J           NOT      NOTCam      AB  12390.26    3631.00
      J           NOT      NOTCam    Vega  12390.26    1549.49
      J           NTT          --    Vega   Generic    Generic
      J           TNG          --      AB   Generic    3631.00
      J          Keck     MOSFIRE      AB   Generic    3631.00
      J          SOFI          --      AB   Generic    3631.00
      J          SOFI          --    Vega   Generic    Generic
      J         GROND          --      AB  12245.68    3631.00
      J         GROND          --    Vega  12245.68    1577.98
      J         UKRIT          --      AB   Generic    3631.00
      J       ESO2.2m       GROND      AB  12245.68    3631.00
      J      Magellan    FourStar      AB   Generic    3631.00
      J    UltraVISTA          --      AB   Generic    3631.00
      K           NOT          --      AB   Generic    3631.00
      K           NOT          --    Vega   Generic    Generic
      K           NOT      NOTCam      AB  21814.01    3631.00
      K           NOT      NOTCam    Vega  21814.01    639.530
      K           NTT          --    Vega   Generic    Generic
      K           TNG          --      AB   Generic    3631.00
      K          SOFI          --    Vega   Generic    Generic
      K         GROND          --      AB  21550.23    3631.00
      K         GROND          --    Vega  21550.23    653.040
