# Wavelength Flux
# STATUS = PUBLIC
# OBJECT = OGLE15xl
# TELESCOPE = NTT
# INSTRUMENT = EFOSC2
# DATE-OBS = 2015-12-18 06:29:00.00
# MJD =
# EXPTIME = 1500
# SLIT =
# DISPERSER =
# SOURCE = 2015ATel.8437....1L
# FILTER =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# FLUX_UNITS =
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT = Obtained from WISeREP
6223.43870163 4.31198e-17
6228.95662975 4.29654e-17
6234.47455788 4.42669e-17
6239.992486 3.89392e-17
6245.51041412 4.22453e-17
6251.02834225 4.50309e-17
6256.54627037 4.40012e-17
6262.06419849 4.23956e-17
6267.58212662 3.99398e-17
6273.10005474 3.94911e-17
6278.61798286 4.37038e-17
6284.13591099 4.56186e-17
6289.65383911 4.07747e-17
6295.17176723 3.96478e-17
6300.68969536 4.46636e-17
6306.20762348 4.1644e-17
6311.72555161 4.64672e-17
6317.24347973 4.32569e-17
6322.76140785 4.48552e-17
6328.27933598 3.92812e-17
6333.7972641 4.76901e-17
6339.31519222 4.96907e-17
6344.83312035 4.86455e-17
6350.35104847 4.74643e-17
6355.86897659 4.44293e-17
6361.38690472 4.31459e-17
6366.90483284 4.2794e-17
6372.42276096 4.17751e-17
6377.94068909 4.60113e-17
6383.45861721 4.07226e-17
6388.97654533 4.45042e-17
6394.49447346 3.85648e-17
6400.01240158 4.19657e-17
6405.5303297 4.5373e-17
6411.04825783 4.36223e-17
6416.56618595 4.4557e-17
6422.08411407 3.97095e-17
6427.6020422 4.38973e-17
6433.11997032 4.17609e-17
6438.63789845 3.92839e-17
6444.15582657 4.10431e-17
6449.67375469 4.08564e-17
6455.19168282 4.19473e-17
6460.70961094 4.36558e-17
6466.22753906 3.97317e-17
6471.74546719 4.131e-17
6477.26339531 3.93767e-17
6482.78132343 4.29072e-17
6488.29925156 4.52716e-17
6493.81717968 3.70613e-17
6499.3351078 3.37214e-17
6504.85303593 3.6798e-17
6510.37096405 4.06719e-17
6515.88889217 4.16862e-17
6521.4068203 4.04468e-17
6526.92474842 4.194e-17
6532.44267654 3.62047e-17
6537.96060467 3.78896e-17
6543.47853279 4.22505e-17
6548.99646091 4.57357e-17
6554.51438904 4.27279e-17
6560.03231716 3.87276e-17
6565.55024529 3.74761e-17
6571.06817341 3.75479e-17
6576.58610153 3.55886e-17
6582.10402966 4.11998e-17
6587.62195778 3.63101e-17
6593.1398859 3.90123e-17
6598.65781403 4.60771e-17
6604.17574215 3.9622e-17
6609.69367027 3.78849e-17
6615.2115984 3.73961e-17
6620.72952652 3.6289e-17
6626.24745464 4.08211e-17
6631.76538277 3.50618e-17
6637.28331089 3.29591e-17
6642.80123901 3.92184e-17
6648.31916714 3.79203e-17
6653.83709526 3.46041e-17
6659.35502338 3.46354e-17
6664.87295151 3.72707e-17
6670.39087963 3.79124e-17
6675.90880775 3.29412e-17
6681.42673588 3.71913e-17
6686.944664 4.06697e-17
6692.46259212 3.7324e-17
6697.98052025 3.55235e-17
6703.49844837 3.33805e-17
6709.0163765 2.97178e-17
6714.53430462 3.30001e-17
6720.05223274 3.43519e-17
6725.57016087 3.65001e-17
6731.08808899 3.87946e-17
6736.60601711 3.23438e-17
6742.12394524 2.85391e-17
6747.64187336 3.34038e-17
6753.15980148 3.37476e-17
6758.67772961 3.28005e-17
6764.19565773 3.30232e-17
6769.71358585 3.33438e-17
6775.23151398 3.17636e-17
6780.7494421 3.49152e-17
6786.26737022 3.63065e-17
6791.78529835 3.73908e-17
6797.30322647 2.94494e-17
6802.82115459 3.32371e-17
6808.33908272 3.63018e-17
6813.85701084 3.35184e-17
6819.37493896 2.72217e-17
6824.89286709 3.2827e-17
6830.41079521 3.33261e-17
6835.92872334 3.04061e-17
6841.44665146 2.6791e-17
6846.96457958 2.79642e-17
6852.48250771 3.09453e-17
6858.00043583 2.79773e-17
6863.51836395 2.84872e-17
6869.03629208 2.85147e-17
6874.5542202 2.69516e-17
6880.07214832 2.71463e-17
6885.59007645 2.45441e-17
6891.10800457 2.26781e-17
6896.62593269 2.81288e-17
6902.14386082 2.98201e-17
6907.66178894 2.91035e-17
6913.17971706 3.06126e-17
6918.69764519 2.90318e-17
6924.21557331 3.88198e-17
