# Wavelength Flux
# STATUS = PUBLIC
# OBJECT = 2020dlb
# TELESCOPE = HET
# INSTRUMENT =
# DATE-OBS = 2020.0410
# MJD =
# EXPTIME =
# SLIT =
# DISPERSER =
# SOURCE = 2023ApJ...943...41C
# FILTER =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = False
# PHOTOMETRY_CALIBRATED =
# FLUX_UNITS = erg/s/cm^2/Angstroms
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =
3727.20068 1.74280102e-16
3727.68783 1.55956453e-16
3728.17499 1.35279579e-16
3728.66214 1.19496501e-16
3729.1493 1.43295437e-16
3729.63645 1.53737269e-16
3730.12361 1.43660669e-16
3730.61076 1.41589198e-16
3731.09792 1.62976923e-16
3731.58507 1.24077534e-16
3732.07222 1.16571173e-16
3732.55938 1.14540972e-16
3733.04653 1.25559132e-16
3733.53369 1.36822442e-16
3734.02084 1.39377782e-16
3734.508 1.13265027e-16
3734.99515 1.24259474e-16
3735.48231 1.47141644e-16
3735.96946 1.8909387e-16
3736.45662 1.42232161e-16
3736.94377 1.57805451e-16
3737.43093 1.54529934e-16
3737.91808 1.34853577e-16
3738.40524 1.29565575e-16
3738.89239 8.27858396e-17
3739.37954 6.73819179e-17
3739.8667 4.27855261e-17
3740.35385 5.69741038e-17
3740.84101 1.05084305e-16
3741.32816 1.15353292e-16
3741.81532 1.23101656e-16
3742.30247 1.3911607e-16
3742.78963 1.5326434e-16
3743.27678 1.3577797e-16
3743.76394 1.38225241e-16
3744.25109 1.32108146e-16
3744.73825 1.32300375e-16
3745.2254 1.45271026e-16
3745.71255 1.60932538e-16
3746.19971 1.6956909e-16
3746.68686 1.41413122e-16
3747.17402 1.33531964e-16
3747.66117 1.28903276e-16
3748.14833 1.25865792e-16
3748.63548 9.8424819e-17
3749.12264 6.77896808e-17
3749.60979 6.3137362e-17
3750.09695 6.96572923e-17
3750.5841 9.35697135e-17
3751.07126 1.28822831e-16
3751.55841 1.35771327e-16
3752.04556 1.15341964e-16
3752.53272 1.33781492e-16
3753.01987 1.2513995e-16
3753.50703 1.16902811e-16
3753.99418 1.38961243e-16
3754.48134 1.50713257e-16
3754.96849 1.37063898e-16
3755.45565 1.44255086e-16
3755.9428 1.2755659e-16
3756.42996 1.43592892e-16
3756.91711 1.40577856e-16
3757.40427 1.33824538e-16
3757.89142 1.40055071e-16
3758.37857 1.51997806e-16
3758.86573 1.18104779e-16
3759.35288 1.34834868e-16
3759.84004 1.39922558e-16
3760.32719 1.46127639e-16
3760.81435 1.30256626e-16
3761.3015 1.42691988e-16
3761.78866 1.33541822e-16
3762.27581 1.42809043e-16
3762.76297 1.27024455e-16
3763.25012 1.2347376e-16
3763.73728 1.07280878e-16
3764.22443 1.33197645e-16
3764.71159 1.24740893e-16
3765.19874 1.40273324e-16
3765.68589 1.43067792e-16
3766.17305 1.2971663e-16
3766.6602 1.394115e-16
3767.14736 1.46495079e-16
3767.63451 1.25142064e-16
3768.12167 1.28043679e-16
3768.60882 1.24165235e-16
3769.09598 1.11259407e-16
3769.58313 1.1634013e-16
3770.07029 1.01706517e-16
3770.55744 1.39308064e-16
3771.0446 1.23634896e-16
3771.53175 1.13515173e-16
3772.0189 1.1178887e-16
3772.50606 1.20206142e-16
3772.99321 1.26948267e-16
3773.48037 1.17747489e-16
3773.96752 1.35511439e-16
3774.45468 1.46852887e-16
3774.94183 1.32521399e-16
3775.42899 1.19389495e-16
3775.91614 1.39012006e-16
3776.4033 1.24733821e-16
3776.89045 1.23324204e-16
3777.37761 1.40952766e-16
3777.86476 1.1565291e-16
3778.35191 1.24872851e-16
3778.83907 1.22748329e-16
3779.32622 1.05800071e-16
3779.81338 1.13254748e-16
3780.30053 1.26609167e-16
3780.78769 1.10180517e-16
3781.27484 1.37062265e-16
3781.762 1.15562442e-16
3782.24915 1.22055269e-16
3782.73631 1.1113628e-16
3783.22346 1.19520837e-16
3783.71062 1.09841479e-16
3784.19777 1.19991104e-16
3784.68492 1.18300419e-16
3785.17208 9.39250354e-17
3785.65923 1.12659576e-16
3786.14639 1.22224693e-16
3786.63354 1.24400507e-16
3787.1207 1.17318318e-16
3787.60785 1.22431838e-16
3788.09501 1.1846567e-16
3788.58216 1.25456821e-16
3789.06932 1.20635384e-16
3789.55647 1.28432451e-16
3790.04363 9.73468669e-17
3790.53078 1.2639226e-16
3791.01794 1.25591215e-16
3791.50509 1.14429498e-16
3791.99224 1.17877166e-16
3792.4794 1.08240997e-16
3792.96655 1.00260972e-16
3793.45371 1.11052722e-16
3793.94086 1.04555844e-16
3794.42802 9.60575776e-17
3794.91517 1.21696184e-16
3795.40233 1.31254925e-16
3795.88948 1.27469059e-16
3796.37664 1.41792445e-16
3796.86379 1.23080405e-16
3797.35095 1.11987707e-16
3797.8381 1.14458826e-16
3798.32525 1.09951428e-16
3798.81241 1.40514216e-16
3799.29956 1.20734328e-16
3799.78672 1.2297641e-16
3800.27387 1.20860068e-16
3800.76103 1.2522646e-16
3801.24818 1.15930407e-16
3801.73534 1.18816396e-16
3802.22249 1.24462292e-16
3802.70965 1.19300505e-16
3803.1968 1.14852245e-16
3803.68396 1.14118836e-16
3804.17111 1.24264759e-16
3804.65826 1.3072901e-16
3805.14542 1.17342092e-16
3805.63257 1.05285705e-16
3806.11973 1.07615153e-16
3806.60688 1.1938675e-16
3807.09404 1.13163384e-16
3807.58119 1.20696611e-16
3808.06835 1.08128322e-16
3808.5555 9.93149502e-17
3809.04266 1.01948018e-16
3809.52981 1.19891454e-16
3810.01697 1.24979618e-16
3810.50412 1.13409588e-16
3810.99127 1.14485065e-16
3811.47843 1.24730289e-16
3811.96558 1.09455959e-16
3812.45274 1.02910443e-16
3812.93989 1.10473443e-16
3813.42705 1.0548932e-16
3813.9142 1.18396496e-16
3814.40136 1.09217727e-16
3814.88851 9.59577254e-17
3815.37567 1.01335345e-16
3815.86282 1.00756292e-16
3816.34998 1.00179485e-16
3816.83713 1.09482397e-16
3817.32429 9.93786657e-17
3817.81144 1.12553359e-16
3818.29859 1.12088673e-16
3818.78575 1.05226741e-16
3819.2729 1.16715787e-16
3819.76006 1.22318071e-16
