          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 58685.302919  19.4696  19.5006    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58689.385309  19.3841  19.4152    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58691.364281  20.0203  20.0628    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 58693.264739  19.4086  19.4397    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 58703.263799  19.8759  19.9184    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
     58704.15    21.12      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
 58707.334251   19.561  19.6035    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 58713.276053  19.3503  19.3814    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
  58721.28235  19.9887  20.0198    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 58723.288393  20.1367  20.1791    -1.0      ATLAS       ATLAS    cyan   True      AB   False  2018PASP..130f4505T 
     58728.13    20.51      nan    -1.0        P48         ZTF       g   True      AB   False  2023ApJ...943...41C 
     58746.12    20.01      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58746.12    20.51      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58746.13    20.57      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58746.13    20.61      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58748.12    20.21      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58748.12    20.31      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58748.13    20.34      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58748.13    19.08      nan    -1.0        P48         ZTF       r   True      AB    True  2023ApJ...943...41C 
     58750.11    19.46      nan    -1.0        P48         ZTF       r   True      AB    True  2023ApJ...943...41C 
     58750.12    19.87      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58750.12    20.05      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58750.13    20.03      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58754.12    20.32      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
     58754.12    20.44      nan    -1.0        P48         ZTF       r   True      AB   False  2023ApJ...943...41C 
